Id	FIMM-AML Name	BeatAML Name	Match Type / Alternate Name
1	Afatinib	Afatinib	Exact Match
2	AGI-5198	AGI-5198	Exact Match
3	AGI-6780	AGI-6780	Exact Match
4	Alisertib	Alisertib	Exact Match
5	AT7519	AT7519	Exact Match
6	Axitinib	Axitinib	Exact Match
7	AZD1480	AZD1480	Exact Match
8	AZD1152-HQPA	AZD1152-HQPA	Alternate: AZD2811
9	Birinapant	Birinapant	Exact Match
10	BMS-754807	BMS-754807	Exact Match
11	Bortezomib	Bortezomib	Exact Match
12	Bosutinib	Bosutinib	Exact Match
13	Cabozantinib	Cabozantinib	Exact Match
14	Canertinib	Canertinib	Exact Match
15	Cediranib	Cediranib	Exact Match
16	Crenolanib	Crenolanib	Exact Match
17	Crizotinib	Crizotinib	Exact Match
18	Cytarabine	Cytarabine	Exact Match
19	Dasatinib	Dasatinib	Exact Match
20	Doramapimod	Doramapimod	Exact Match
21	Dovitinib	Dovitinib	Exact Match
22	Entospletinib	Entospletinib	Exact Match
23	Erlotinib	Erlotinib	Exact Match
24	Foretinib	Foretinib	Exact Match
25	Gefitinib	Gefitinib	Exact Match
26	GSK-1838705A	GSK-1838705A	Exact Match
27	GSK-1904529A	GSK-1904529A	Exact Match
28	Ibrutinib	Ibrutinib	Exact Match
29	Idelalisib	Idelalisib	Exact Match
30	Imatinib	Imatinib	Exact Match
31	JNJ-38877605	JNJ-38877605	Exact Match
32	JQ1	JQ1	Exact Match
33	KW-2449	KW-2449	Exact Match
34	Lapatinib	Lapatinib	Exact Match
35	Lenalidomide	Lenalidomide	Exact Match
36	Lenvatinib	Lenvatinib	Exact Match
37	Lestaurtinib	Lestaurtinib	Exact Match
38	Linifanib	Linifanib	Exact Match
39	Lovastatin	Lovastatin	Exact Match
40	Masitinib	Masitinib	Exact Match
41	Metformin	Metformin	Exact Match
42	Midostaurin	Midostaurin	Exact Match
43	MK-2206	MK-2206	Exact Match
44	Motesanib	Motesanib	Exact Match
45	Neratinib	Neratinib	Exact Match
46	Nilotinib	Nilotinib	Exact Match
47	NVP-AEW541	NVP-AEW541	Exact Match
48	Olaparib	Olaparib	Exact Match
49	Palbociclib	Palbociclib	Exact Match
50	Panobinostat	Panobinostat	Exact Match
51	Pazopanib	Pazopanib	Exact Match
52	CI-1040	CI-1040	Alternate: PD184352
53	Pelitinib	Pelitinib	Exact Match
54	PH-797804	PH-797804	Exact Match
55	Quizartinib	Quizartinib	Exact Match
56	Ralimetinib	Ralimetinib	Exact Match
57	Regorafenib	Regorafenib	Exact Match
58	Ruxolitinib	Ruxolitinib	Exact Match
59	Saracatinib	Saracatinib	Exact Match
60	Selinexor	Selinexor	Exact Match
61	Selumetinib	Selumetinib	Exact Match
62	SGX-523	SGX-523	Exact Match
63	SNS-032	SNS-032	Exact Match
64	Sorafenib	Sorafenib	Exact Match
65	Sunitinib	Sunitinib	Exact Match
66	Tandutinib	Tandutinib	Exact Match
67	17-AAG	17-AAG	Alternate: Tanespimycin
68	TG100-115	TG100-115	Exact Match
69	Tivozanib	Tivozanib	Exact Match
70	Tofacitinib	Tofacitinib	Exact Match
71	Tozasertib	Tozasertib	Exact Match
72	Trametinib	Trametinib	Exact Match
73	Vandetanib	Vandetanib	Exact Match
74	Vatalanib	Vatalanib	Exact Match
75	Vemurafenib	Vemurafenib	Exact Match
76	Venetoclax	Venetoclax	Exact Match
77	Vismodegib	Vismodegib	Exact Match
78	Volasertib	Volasertib	Exact Match
