Sample_ID,Compound_ID,Chemical_compound,EC50,SLOPE,MAX,MIN,C_1,C_2,C_3,C_4,C_5,V_1,V_2,V_3,V_4,V_5,DSS,sDSS
AML_079_01,FIMM003756,Ruxolitinib,602.6,-0.8,100,29.4,1.0,10,100,1000,10000,101.8,89.0,84.9,62.7,29.4,9.3,5.78
AML_079_01,FIMM003793,Vismodegib,10000.0,-2.5,100,93.6,1.0,10,100,1000,10000,95.5,101.1,93.6,103.9,100.3,0.0,0.0
AML_079_01,FIMM000176,Vatalanib,10000.0,-2.5,100,86.3,1.0,10,100,1000,10000,110.9,100.2,107.4,104.8,86.3,0.1,0.1
AML_079_01,FIMM133821,Tozasertib,930.7,-1.3,100,56.1,1.0,10,100,1000,10000,107.1,106.2,95.4,77.7,56.1,4.7,3.0
AML_079_01,FIMM000170,Metformin,100000.0,-1.0,100,87.4,10.0,100,1000,10000,100000,95.5,91.3,95.9,93.3,87.4,0.0,0.0
AML_079_01,FIMM003776,Tofacitinib,586.5,-1.5,100,60.7,0.5,5,50,500,5000,96.0,118.5,95.1,83.2,60.7,3.7,3.1
AML_079_01,FIMM109463,Ralimetinib,1729.7,-2.4,100,27.6,1.0,10,100,1000,10000,97.2,106.5,85.4,84.7,27.6,6.3,6.3
AML_079_01,FIMM003711,Dovitinib,1393.0,-1.3,100,70.4,1.0,10,100,1000,10000,91.8,94.9,95.2,89.5,70.4,2.1,2.1
AML_079_01,FIMM000143,Lovastatin,10000.0,-2.5,100,96.1,1.0,10,100,1000,10000,101.2,96.1,101.3,105.7,98.7,0.0,
AML_079_01,FIMM003763,Nilotinib,1163.0,-2.2,100,59.3,1.0,10,100,1000,10000,109.6,94.6,99.2,83.0,59.3,4.2,4.2
AML_079_01,FIMM133832,AGI-5198,10000.0,-2.5,100,87.9,1.0,10,100,1000,10000,108.0,104.9,87.9,107.8,101.9,0.0,-1.3
AML_079_01,FIMM003761,Alisertib,10000.0,-2.5,100,75.4,1.0,10,100,1000,10000,93.0,104.3,95.6,96.8,75.4,1.4,0.98
AML_079_01,FIMM100364,Regorafenib,1553.3,-2.1,100,13.1,1.0,10,100,1000,10000,92.5,111.2,88.7,75.4,13.1,8.0,7.63
AML_079_01,FIMM133874,SGX-523,5000.0,-2.5,100,92.8,0.5,5,50,500,5000,106.5,113.2,97.9,104.3,92.8,0.0,0.0
AML_079_01,FIMM003713,Crizotinib,198.1,-2.5,100,44.9,0.1,1,10,100,1000,93.6,98.2,98.2,91.7,44.9,4.4,3.05
AML_079_01,FIMM023812,Cytarabine,1679.7,-2.5,100,38.0,1.0,10,100,1000,10000,98.7,102.7,97.8,86.7,38.0,5.5,
AML_079_01,FIMM003746,Doramapimod,1730.1,-2.5,100,28.8,1.0,10,100,1000,10000,101.5,95.6,86.8,85.7,28.8,6.3,5.3
AML_079_01,FIMM133846,TG100-115,10000.0,-0.8,100,80.4,1.0,10,100,1000,10000,96.2,111.0,87.8,97.2,80.4,0.6,0.6
AML_079_01,FIMM003750,Idelalisib,1063.4,-1.2,100,50.5,1.0,10,100,1000,10000,97.1,94.2,94.0,77.8,50.5,5.0,4.58
AML_079_01,FIMM133780,GSK-1904529A,10000.0,-2.5,100,87.8,1.0,10,100,1000,10000,109.4,104.3,87.8,89.9,95.4,1.1,1.1
AML_079_01,FIMM023820,Sunitinib,36.4,-0.9,100,70.4,0.1,1,10,100,1000,108.6,103.1,89.5,81.2,70.4,3.7,3.7
AML_079_01,FIMM003733,Motesanib,10000.0,-1.0,100,79.3,1.0,10,100,1000,10000,99.5,101.9,94.3,93.1,79.3,0.9,0.88
AML_079_01,FIMM003782,Lenalidomide,100000.0,-0.6,100,79.0,10.0,100,1000,10000,100000,101.6,106.4,83.5,93.6,79.0,1.4,1.4
AML_079_01,FIMM100415,Ibrutinib,1000.0,-1.2,100,99.7,0.1,1,10,100,1000,104.7,102.4,102.4,99.7,108.4,0.0,0.0
AML_079_01,FIMM136402,Entospletinib,5000.0,-0.9,100,92.7,0.5,5,50,500,5000,100.1,115.0,117.1,92.7,102.8,0.0,0.0
AML_079_01,FIMM003742,AZD2811,1000.0,-2.5,100,90.1,0.1,1,10,100,1000,119.0,109.5,109.0,97.3,90.1,0.0,-0.2
AML_079_01,FIMM100382,Neratinib,156.9,-2.2,100,34.7,0.1,1,10,100,1000,101.2,98.6,91.8,82.2,34.7,6.0,5.78
AML_079_01,FIMM003710,Afatinib,168.6,-2.5,100,58.7,0.1,1,10,100,1000,104.6,95.5,93.4,91.1,58.7,3.5,2.63
AML_079_01,FIMM003719,SNS-032,40.0,-0.9,100,1.1,1.0,10,100,1000,10000,101.9,74.7,34.2,1.1,3.2,27.6,4.1
AML_079_01,FIMM100386,Linifanib,1000.0,-2.5,100,80.9,0.1,1,10,100,1000,108.0,98.0,107.2,101.0,80.9,0.5,0.5
AML_079_01,FIMM003784,Pazopanib,10000.0,-0.7,100,76.0,1.0,10,100,1000,10000,98.5,95.2,88.5,79.9,76.0,3.7,3.7
AML_079_01,FIMM003778,Axitinib,1563.2,-2.0,100,50.7,1.0,10,100,1000,10000,93.2,98.1,93.0,85.9,50.7,4.3,4.18
AML_079_01,FIMM003774,Lestaurtinib,92.5,-1.1,100,26.2,0.1,1,10,100,1000,112.7,109.5,88.3,64.1,26.2,8.4,5.8
AML_079_01,FIMM133867,KW-2449,429.0,-1.9,100,64.7,0.2,2,20,200,2500,105.4,105.2,90.7,91.0,64.7,2.6,2.6
AML_079_01,FIMM133891,Birinapant,92.1,-0.7,100,63.5,0.1,1,10,100,1000,95.2,101.3,88.6,86.7,63.5,3.2,0.1
AML_079_01,FIMM000183,Erlotinib,1711.0,-2.1,100,47.4,1.0,10,100,1000,10000,94.7,88.9,88.7,87.6,47.4,4.5,3.88
AML_079_01,FIMM133827,AT7519,262.2,-0.9,100,0.6,1.0,10,100,1000,10000,88.2,91.0,72.1,24.2,0.6,17.7,-0.88
AML_079_01,FIMM003791,Masitinib,1331.9,-2.5,100,50.8,1.0,10,100,1000,10000,109.2,114.2,103.3,83.8,50.8,4.9,1.55
AML_079_01,FIMM100395,Cabozantinib,1000.0,-0.3,100,77.5,0.1,1,10,100,1000,98.8,96.7,81.2,100.5,77.5,1.1,1.05
AML_079_01,FIMM000274,Lapatinib,1000.0,-0.2,100,81.8,0.1,1,10,100,1000,97.6,86.7,101.2,94.6,86.8,0.0,0.0
AML_079_01,FIMM003781,Canertinib,987.9,-1.4,100,1.9,1.0,10,100,1000,10000,100.7,105.1,91.3,51.9,1.9,11.1,4.38
AML_079_01,FIMM133875,JNJ-38877605,10000.0,-1.0,100,67.8,1.0,10,100,1000,10000,77.6,87.4,99.9,93.1,67.8,0.0,0.0
AML_079_01,FIMM003708,Selumetinib,628.1,-1.0,100,64.7,1.0,10,100,1000,10000,99.5,106.2,92.1,79.9,64.7,4.0,1.65
AML_079_01,FIMM003779,Saracatinib,10000.0,-2.5,100,80.5,1.0,10,100,1000,10000,99.4,107.3,102.8,92.7,80.5,1.4,1.4
AML_079_01,FIMM003783,Panobinostat,17.5,-2.5,100,2.6,0.1,1,10,100,1000,111.9,103.9,80.9,2.6,2.7,20.7,6.88
AML_079_01,FIMM133878,NVP-AEW541,1704.5,-2.5,100,1.1,1.0,10,100,1000,10000,105.3,93.6,86.8,79.5,1.1,8.8,2.85
AML_079_01,FIMM133902,Selinexor,91.6,-0.6,100,1.4,1.0,10,100,1000,10000,92.0,84.0,43.1,28.0,1.4,22.5,8.08
AML_079_01,FIMM023830,Bortezomib,2.3,-2.5,100,0.0,0.1,1,10,100,1000,100.5,88.6,2.4,0.2,-0.2,32.3,
AML_079_01,FIMM100396,AZD1480,130.4,-2.5,100,53.8,0.1,1,10,100,1000,101.8,103.9,110.4,84.2,53.8,4.7,4.48
AML_079_01,FIMM003738,Tivozanib,396.3,-0.5,100,53.7,1.0,10,100,1000,10000,95.9,91.8,81.5,80.5,53.7,6.2,5.98
AML_079_01,FIMM003705,Palbociclib,1662.2,-1.6,100,42.8,1.0,10,100,1000,10000,95.6,97.0,85.2,83.9,42.8,4.8,2.13
AML_079_01,FIMM100418,JQ1,416.7,-0.9,100,55.4,1.0,10,100,1000,10000,107.1,114.9,82.2,73.7,55.4,6.3,2.65
AML_079_01,FIMM003751,Trametinib,250.0,-2.5,100,79.2,0.0,0,0,0,250,113.8,111.0,94.7,79.2,81.6,3.7,3.13
AML_079_01,FIMM133779,GSK-1838705A,352.9,-2.5,100,39.0,0.2,2,20,200,2500,104.7,103.5,102.8,81.9,39.0,6.0,5.88
AML_079_01,FIMM133844,PH-797804,1000.0,-0.5,100,86.0,0.1,1,10,100,1000,109.5,91.2,94.7,86.0,94.1,0.5,0.5
AML_079_01,FIMM003760,MK-2206,74.1,-0.7,100,56.8,0.1,1,10,100,1000,95.7,93.1,90.5,80.6,56.8,4.6,0.98
AML_079_01,FIMM003767,Vemurafenib,10000.0,-2.5,100,91.6,1.0,10,100,1000,10000,102.3,103.1,114.1,103.9,91.6,0.0,-0.18
AML_079_01,FIMM000160,Gefitinib,2073.6,-2.5,100,36.9,1.0,10,100,1000,10000,97.1,100.9,86.0,91.5,36.9,4.9,3.65
AML_079_01,FIMM003717,Tanespimycin,600.4,-1.8,100,8.3,1.0,10,100,1000,10000,107.7,102.4,96.2,34.6,8.3,13.1,4.6
AML_079_01,FIMM003749,BMS-754807,290.7,-0.4,100,22.8,1.0,10,100,1000,10000,96.0,79.2,69.9,63.4,22.8,13.0,10.83
AML_079_01,FIMM133818,Pelitinib,330.3,-2.5,100,19.6,0.2,2,20,200,2500,99.5,105.4,100.8,73.3,19.6,8.3,4.8
AML_079_01,FIMM003734,Cediranib,1000.0,-0.4,100,91.0,0.1,1,10,100,1000,111.0,98.2,91.0,98.1,95.7,0.0,-0.03
AML_079_01,FIMM100375,Volasertib,60.4,-0.8,100,63.4,0.1,1,10,100,1000,95.8,98.3,91.5,80.5,63.4,4.0,1.23
AML_079_01,FIMM000172,Imatinib,1499.8,-2.5,100,53.3,1.0,10,100,1000,10000,111.5,107.7,99.8,87.6,53.3,4.3,3.6
AML_079_01,FIMM003785,Tandutinib,1000.0,-2.5,100,82.9,0.1,1,10,100,1000,109.2,114.7,100.0,97.4,82.9,0.7,-0.18
AML_079_01,FIMM003794,Sorafenib,1000.0,-2.5,100,97.8,0.1,1,10,100,1000,106.4,112.0,108.7,103.3,97.8,0.0,0.0
AML_079_01,FIMM003790,Olaparib,10000.0,-2.5,100,85.5,1.0,10,100,1000,10000,114.2,100.4,89.0,91.2,85.5,2.0,1.23
AML_079_01,FIMM115484,Venetoclax,0.3,-0.2,100,5.3,0.1,1,10,100,1000,66.5,19.1,66.9,25.1,5.3,30.0,30.0
