Column_Label,Type
Sample_ID,Id
TSPAN6,Gene_Expr
TNMD,Gene_Expr
DPM1,Gene_Expr
SCYL3,Gene_Expr
FIRRM,Gene_Expr
FGR,Gene_Expr
CFH,Gene_Expr
FUCA2,Gene_Expr
GCLC,Gene_Expr
NFYA,Gene_Expr
STPG1,Gene_Expr
NIPAL3,Gene_Expr
LAS1L,Gene_Expr
ENPP4,Gene_Expr
SEMA3F,Gene_Expr
CFTR,Gene_Expr
ANKIB1,Gene_Expr
CYP51A1,Gene_Expr
KRIT1,Gene_Expr
RAD52,Gene_Expr
BAD,Gene_Expr
LAP3,Gene_Expr
CD99,Gene_Expr
HS3ST1,Gene_Expr
AOC1,Gene_Expr
WNT16,Gene_Expr
HECW1,Gene_Expr
MAD1L1,Gene_Expr
LASP1,Gene_Expr
SNX11,Gene_Expr
TMEM176A,Gene_Expr
M6PR,Gene_Expr
KLHL13,Gene_Expr
CYP26B1,Gene_Expr
ICA1,Gene_Expr
DBNDD1,Gene_Expr
ALS2,Gene_Expr
CASP10,Gene_Expr
CFLAR,Gene_Expr
TFPI,Gene_Expr
NDUFAF7,Gene_Expr
RBM5,Gene_Expr
MTMR7,Gene_Expr
SLC7A2,Gene_Expr
ARF5,Gene_Expr
SARM1,Gene_Expr
POLDIP2,Gene_Expr
PLXND1,Gene_Expr
AK2,Gene_Expr
CD38,Gene_Expr
FKBP4,Gene_Expr
KDM1A,Gene_Expr
RBM6,Gene_Expr
CAMKK1,Gene_Expr
RECQL,Gene_Expr
VPS50,Gene_Expr
HSPB6,Gene_Expr
ARHGAP33,Gene_Expr
NDUFAB1,Gene_Expr
PDK4,Gene_Expr
SLC22A16,Gene_Expr
ZMYND10,Gene_Expr
ABCB5,Gene_Expr
SLC25A13,Gene_Expr
ST7,Gene_Expr
CDC27,Gene_Expr
SLC4A1,Gene_Expr
CALCR,Gene_Expr
HCCS,Gene_Expr
DVL2,Gene_Expr
PRSS22,Gene_Expr
UPF1,Gene_Expr
SKAP2,Gene_Expr
SLC25A5,Gene_Expr
MCUB,Gene_Expr
HOXA11,Gene_Expr
POLR2J,Gene_Expr
DHX33,Gene_Expr
MEOX1,Gene_Expr
THSD7A,Gene_Expr
LIG3,Gene_Expr
RPAP3,Gene_Expr
ACSM3,Gene_Expr
REXO5,Gene_Expr
CIAPIN1,Gene_Expr
SPPL2B,Gene_Expr
ATOSB,Gene_Expr
COPZ2,Gene_Expr
PRKAR2B,Gene_Expr
MSL3,Gene_Expr
CREBBP,Gene_Expr
TSPOAP1,Gene_Expr
MPO,Gene_Expr
PON1,Gene_Expr
GCFC2,Gene_Expr
WDR54,Gene_Expr
CROT,Gene_Expr
ABCB4,Gene_Expr
KMT2E,Gene_Expr
RHBDD2,Gene_Expr
SOX8,Gene_Expr
IBTK,Gene_Expr
ZNF195,Gene_Expr
MYCBP2,Gene_Expr
FBXL3,Gene_Expr
ITGAL,Gene_Expr
PDK2,Gene_Expr
ITGA3,Gene_Expr
ZFX,Gene_Expr
LAMP2,Gene_Expr
ITGA2B,Gene_Expr
ASB4,Gene_Expr
GDE1,Gene_Expr
REX1BD,Gene_Expr
CRLF1,Gene_Expr
OSBPL7,Gene_Expr
TMEM98,Gene_Expr
YBX2,Gene_Expr
MAP3K14,Gene_Expr
ABCC8,Gene_Expr
CACNG3,Gene_Expr
TMEM132A,Gene_Expr
AP2B1,Gene_Expr
TAC1,Gene_Expr
ZNF263,Gene_Expr
SPATA20,Gene_Expr
CACNA1G,Gene_Expr
TNFRSF12A,Gene_Expr
MAP3K9,Gene_Expr
RALA,Gene_Expr
BAIAP2L1,Gene_Expr
KDM7A,Gene_Expr
ETV1,Gene_Expr
AGK,Gene_Expr
ALDH3B1,Gene_Expr
TTC22,Gene_Expr
PHTF2,Gene_Expr
FARP2,Gene_Expr
USH1C,Gene_Expr
GGCT,Gene_Expr
DBF4,Gene_Expr
TBXA2R,Gene_Expr
IFRD1,Gene_Expr
LGALS14,Gene_Expr
COX10,Gene_Expr
GTF2IRD1,Gene_Expr
PAF1,Gene_Expr
VPS41,Gene_Expr
ARHGAP44,Gene_Expr
ELAC2,Gene_Expr
SCIN,Gene_Expr
ARSD,Gene_Expr
PNPLA4,Gene_Expr
MYH13,Gene_Expr
ADIPOR2,Gene_Expr
CDKL3,Gene_Expr
UPP2,Gene_Expr
PRSS21,Gene_Expr
MARK4,Gene_Expr
PROM1,Gene_Expr
CCDC124,Gene_Expr
CEACAM21,Gene_Expr
PAFAH1B1,Gene_Expr
NOS2,Gene_Expr
DNAH9,Gene_Expr
BLTP2,Gene_Expr
SLC13A2,Gene_Expr
GAS7,Gene_Expr
TRAPPC6A,Gene_Expr
MATK,Gene_Expr
CEACAM7,Gene_Expr
CD79B,Gene_Expr
SCN4A,Gene_Expr
ST7L,Gene_Expr
TKTL1,Gene_Expr
PAX6,Gene_Expr
RPUSD1,Gene_Expr
RHBDF1,Gene_Expr
LUC7L,Gene_Expr
CACNA2D2,Gene_Expr
BAIAP3,Gene_Expr
TSR3,Gene_Expr
PIGQ,Gene_Expr
CRAMP1,Gene_Expr
TEAD3,Gene_Expr
SELE,Gene_Expr
DNAJC11,Gene_Expr
FMO3,Gene_Expr
MYLIP,Gene_Expr
NOX1,Gene_Expr
E2F2,Gene_Expr
PSMB1,Gene_Expr
SYN1,Gene_Expr
JARID2,Gene_Expr
CDKL5,Gene_Expr
CAMK1G,Gene_Expr
CDK11A,Gene_Expr
NADK,Gene_Expr
TFAP2B,Gene_Expr
TFAP2D,Gene_Expr
DLEC1,Gene_Expr
CYTH3,Gene_Expr
ADAM22,Gene_Expr
SYPL1,Gene_Expr
CYB561,Gene_Expr
SPAG9,Gene_Expr
CELSR3,Gene_Expr
AASS,Gene_Expr
PLEKHG6,Gene_Expr
SS18L2,Gene_Expr
MPND,Gene_Expr
MGST1,Gene_Expr
CRY1,Gene_Expr
PGLYRP1,Gene_Expr
NFIX,Gene_Expr
ST3GAL1,Gene_Expr
MMP25,Gene_Expr
IL32,Gene_Expr
PKD1,Gene_Expr
MAPK8IP2,Gene_Expr
MED24,Gene_Expr
RHOBTB2,Gene_Expr
HEATR5B,Gene_Expr
SEC62,Gene_Expr
RPS20,Gene_Expr
CSDE1,Gene_Expr
UBE3C,Gene_Expr
REV3L,Gene_Expr
TENM1,Gene_Expr
PAX7,Gene_Expr
MASP2,Gene_Expr
IYD,Gene_Expr
FAM76A,Gene_Expr
TRAF3IP3,Gene_Expr
POMT2,Gene_Expr
VTA1,Gene_Expr
MLXIPL,Gene_Expr
BAZ1B,Gene_Expr
RANBP9,Gene_Expr
ETV7,Gene_Expr
SPRTN,Gene_Expr
METTL13,Gene_Expr
DYRK4,Gene_Expr
ZNF207,Gene_Expr
UQCRC1,Gene_Expr
STARD3NL,Gene_Expr
CD9,Gene_Expr
NCAPD2,Gene_Expr
IFFO1,Gene_Expr
GIPR,Gene_Expr
PHF7,Gene_Expr
SEMA3G,Gene_Expr
NISCH,Gene_Expr
STAB1,Gene_Expr
FUZ,Gene_Expr
SLC6A13,Gene_Expr
IDS,Gene_Expr
PRSS3,Gene_Expr
ZNF200,Gene_Expr
CD4,Gene_Expr
LRRC23,Gene_Expr
BTK,Gene_Expr
HFE,Gene_Expr
SCMH1,Gene_Expr
FYN,Gene_Expr
HIVEP2,Gene_Expr
FMO1,Gene_Expr
ELOA,Gene_Expr
LYPLA2,Gene_Expr
CLCN6,Gene_Expr
MRC2,Gene_Expr
NME1-NME2,Gene_Expr
SLC6A7,Gene_Expr
TSPAN9,Gene_Expr
BTBD7,Gene_Expr
APBA3,Gene_Expr
MKS1,Gene_Expr
ABHD5,Gene_Expr
ANOS1,Gene_Expr
AKAP8L,Gene_Expr
MBTD1,Gene_Expr
UTP18,Gene_Expr
RNF216,Gene_Expr
TTC19,Gene_Expr
PTBP1,Gene_Expr
DPF1,Gene_Expr
SYT7,Gene_Expr
LARS2,Gene_Expr
PIK3C2A,Gene_Expr
PLAUR,Gene_Expr
ANLN,Gene_Expr
