Id,FIMM_Name,BeatAML_Name,Match_Type,cid
1,Afatinib,Afatinib,Exact Match,9525
2,AGI-5198,AGI-5198,Exact Match,5359389
3,AGI-6780,AGI-6780,Exact Match,71299339
4,Alisertib,Alisertib,Exact Match,3012
5,AT7519,AT7519,Exact Match,11338033
6,Axitinib,Axitinib,Exact Match,2735853
7,AZD1480,AZD1480,Exact Match,16659841
8,AZD2811,AZD1152-HQPA,Alternate: AZD2811,16007391
9,Birinapant,Birinapant,Exact Match,3068
10,BMS-754807,BMS-754807,Exact Match,3071
11,Bortezomib,Bortezomib,Exact Match,93860
12,Bosutinib,Bosutinib,Exact Match,3076
13,Cabozantinib,Cabozantinib,Exact Match,24956525
14,Canertinib,Canertinib,Exact Match,156414
15,Cediranib,Cediranib,Exact Match,9933475
16,Crenolanib,Crenolanib,Exact Match,10366136
17,Crizotinib,Crizotinib,Exact Match,3102
18,Cytarabine,Cytarabine,Exact Match,596
19,Dasatinib,Dasatinib,Exact Match,3111
20,Doramapimod,Doramapimod,Exact Match,156422
21,Dovitinib,Dovitinib,Exact Match,3122
22,Entospletinib,Entospletinib,Exact Match,59473233
23,Erlotinib,Erlotinib,Exact Match,176870
24,Foretinib,Foretinib,Exact Match,42642645
25,Gefitinib,Gefitinib,Exact Match,3154
26,GSK-1838705A,GSK-1838705A,Exact Match,25113169
27,GSK-1904529A,GSK-1904529A,Exact Match,25124816
28,Ibrutinib,Ibrutinib,Exact Match,3431
29,Idelalisib,Idelalisib,Exact Match,11625818
30,Imatinib,Imatinib,Exact Match,3428
31,JNJ-38877605,JNJ-38877605,Exact Match,46911863
32,JQ1,JQ1,Exact Match,46907787
33,KW-2449,KW-2449,Exact Match,11427553
34,Lapatinib,Lapatinib,Exact Match,208908
35,Lenalidomide,Lenalidomide,Exact Match,3400
36,Lenvatinib,Lenvatinib,Exact Match,9823820
37,Lestaurtinib,Lestaurtinib,Exact Match,126565
38,Linifanib,Linifanib,Exact Match,3398
39,Lovastatin,Lovastatin,Exact Match,3391
40,Masitinib,Masitinib,Exact Match,3385
41,Metformin,Metformin,Exact Match,4091
42,Midostaurin,Midostaurin,Exact Match,104937
43,MK-2206,MK-2206,Exact Match,24964624
44,Motesanib,Motesanib,Exact Match,11667893
45,Neratinib,Neratinib,Exact Match,3364
46,Nilotinib,Nilotinib,Exact Match,3353
47,NVP-AEW541,NVP-AEW541,Exact Match,11476171
48,Olaparib,Olaparib,Exact Match,3332
49,Palbociclib,Palbociclib,Exact Match,3319
50,Panobinostat,Panobinostat,Exact Match,3318
51,Pazopanib,Pazopanib,Exact Match,10113978
52,PD184352,CI-1040,Alternate: PD184352,6918454
53,Pelitinib,Pelitinib,Exact Match,216467
54,PH-797804,PH-797804,Exact Match,22049997
55,Quizartinib,Quizartinib,Exact Match,3295
56,Ralimetinib,Ralimetinib,Exact Match,11539025
57,Regorafenib,Regorafenib,Exact Match,3286
58,Ruxolitinib,Ruxolitinib,Exact Match,3270
59,Saracatinib,Saracatinib,Exact Match,3265
60,Selinexor,Selinexor,Exact Match,71481097
61,Selumetinib,Selumetinib,Exact Match,3256
62,SGX-523,SGX-523,Exact Match,24779724
63,SNS-032,SNS-032,Exact Match,3025986
64,Sorafenib,Sorafenib,Exact Match,7524
65,Sunitinib,Sunitinib,Exact Match,3086686
66,Tandutinib,Tandutinib,Exact Match,3231
67,Tanespimycin,17-AAG,Alternate: Tanespimycin,151069
68,TG100-115,TG100-115,Exact Match,10427712
69,Tivozanib,Tivozanib,Exact Match,9911830
70,Tofacitinib,Tofacitinib,Exact Match,3211
71,Tozasertib,Tozasertib,Exact Match,15073
72,Trametinib,Trametinib,Exact Match,3203
73,Vandetanib,Vandetanib,Exact Match,3081361
74,Vatalanib,Vatalanib,Exact Match,151193
75,Vemurafenib,Vemurafenib,Exact Match,42611257
76,Venetoclax,Venetoclax,Exact Match,49846579
77,Vismodegib,Vismodegib,Exact Match,3188
78,Volasertib,Volasertib,Exact Match,3187
