Metadata	Feature_Name
Drug	MolecularWeight
Drug	XLogP
Drug	LS_0
Drug	LS_1
Drug	LS_2
Drug	LS_3
Drug	LS_4
Drug	LS_5
Drug	LS_6
Drug	LS_7
Drug	LS_8
Drug	LS_9
Drug	LS_10
Drug	LS_11
Drug	LS_12
Drug	LS_13
Drug	LS_14
Drug	LS_15
Drug	LS_16
Drug	LS_17
Drug	LS_18
Drug	LS_19
Drug	LS_20
Drug	LS_21
Drug	LS_22
Drug	LS_23
Drug	LS_24
Drug	LS_25
Drug	LS_26
Drug	LS_27
Drug	LS_28
Drug	LS_29
Drug	LS_30
Drug	LS_31
Drug	LS_32
Drug	LS_33
Drug	LS_34
Drug	LS_35
Drug	LS_36
Drug	LS_37
Drug	LS_38
Drug	LS_39
Drug	LS_40
Drug	LS_41
Drug	LS_42
Drug	LS_43
Drug	LS_44
Drug	LS_45
Drug	LS_46
Drug	LS_47
Drug	LS_48
Drug	LS_49
Drug	LS_50
Drug	LS_51
Drug	LS_52
Drug	LS_53
Drug	LS_54
Drug	LS_55
Drug	LS_56
Drug	LS_57
Drug	LS_58
Drug	LS_59
Drug	LS_60
Drug	LS_61
Drug	LS_62
Drug	LS_63
Drug	LS_64
Drug	LS_65
Drug	LS_66
Drug	LS_67
Drug	LS_68
Drug	LS_69
Drug	LS_70
Drug	LS_71
Drug	LS_72
Drug	LS_73
Drug	LS_74
Drug	LS_75
Drug	LS_76
Drug	LS_77
Drug	LS_78
Drug	LS_79
Drug	LS_80
Drug	LS_81
Drug	LS_82
Drug	LS_83
Drug	LS_84
Drug	LS_85
Drug	LS_86
Drug	LS_87
Drug	LS_88
Drug	LS_89
Drug	LS_90
Drug	LS_91
Drug	LS_92
Drug	LS_93
Drug	LS_94
Drug	LS_95
Drug	LS_96
Drug	LS_97
Drug	LS_98
Drug	LS_99
Drug	LS_100
Drug	LS_101
Drug	LS_102
Drug	LS_103
Drug	LS_104
Drug	LS_105
Drug	LS_106
Drug	LS_107
Drug	LS_108
Drug	LS_109
Drug	LS_110
Drug	LS_111
Drug	LS_112
Drug	LS_113
Drug	LS_114
Drug	LS_115
Drug	LS_116
Drug	LS_117
Drug	LS_118
Drug	LS_119
Drug	LS_120
Drug	LS_121
Drug	LS_122
Drug	LS_123
Drug	LS_124
Drug	LS_125
Drug	LS_126
Drug	LS_127
Drug	LS_128
Drug	LS_129
Drug	LS_130
Drug	LS_131
Drug	LS_132
Drug	LS_133
Drug	LS_134
Drug	LS_135
Drug	LS_136
Drug	LS_137
Drug	LS_138
Drug	LS_139
Drug	LS_140
Drug	LS_141
Drug	LS_142
Drug	LS_143
Drug	LS_144
Drug	LS_145
Drug	LS_146
Drug	LS_147
Drug	LS_148
Drug	LS_149
Drug	LS_150
