Metadata	Feature_Name
Drug	MolecularWeight
Drug	XlogP
Drug	MFP0
Drug	MFP1
Drug	MFP2
Drug	MFP3
Drug	MFP4
Drug	MFP5
Drug	MFP6
Drug	MFP7
Drug	MFP8
Drug	MFP9
Drug	MFP10
Drug	MFP11
Drug	MFP12
Drug	MFP13
Drug	MFP14
Drug	MFP15
Drug	MFP16
Drug	MFP17
Drug	MFP18
Drug	MFP19
Drug	MFP20
Drug	MFP21
Drug	MFP22
Drug	MFP23
Drug	MFP24
Drug	MFP25
Drug	MFP26
Drug	MFP27
Drug	MFP28
Drug	MFP29
Drug	MFP30
Drug	MFP31
Drug	MFP32
Drug	MFP33
Drug	MFP34
Drug	MFP35
Drug	MFP36
Drug	MFP37
Drug	MFP38
Drug	MFP39
Drug	MFP40
Drug	MFP41
Drug	MFP42
Drug	MFP43
Drug	MFP44
Drug	MFP45
Drug	MFP46
Drug	MFP47
Drug	MFP48
Drug	MFP49
Drug	MFP50
Drug	MFP51
Drug	MFP52
Drug	MFP53
Drug	MFP54
Drug	MFP55
Drug	MFP56
Drug	MFP57
Drug	MFP58
Drug	MFP59
Drug	MFP60
Drug	MFP61
Drug	MFP62
Drug	MFP63
Drug	MFP64
Drug	MFP65
Drug	MFP66
Drug	MFP67
Drug	MFP68
Drug	MFP69
Drug	MFP70
Drug	MFP71
Drug	MFP72
Drug	MFP73
Drug	MFP74
Drug	MFP75
Drug	MFP76
Drug	MFP77
Drug	MFP78
Drug	MFP79
Drug	MFP80
Drug	MFP81
Drug	MFP82
Drug	MFP83
Drug	MFP84
Drug	MFP85
Drug	MFP86
Drug	MFP87
Drug	MFP88
Drug	MFP89
Drug	MFP90
Drug	MFP91
Drug	MFP92
Drug	MFP93
Drug	MFP94
Drug	MFP95
Drug	MFP96
Drug	MFP97
Drug	MFP98
Drug	MFP99
Drug	MFP100
Drug	MFP101
Drug	MFP102
Drug	MFP103
Drug	MFP104
Drug	MFP105
Drug	MFP106
Drug	MFP107
Drug	MFP108
Drug	MFP109
Drug	MFP110
Drug	MFP111
Drug	MFP112
Drug	MFP113
Drug	MFP114
Drug	MFP115
Drug	MFP116
Drug	MFP117
Drug	MFP118
Drug	MFP119
Drug	MFP120
Drug	MFP121
Drug	MFP122
Drug	MFP123
Drug	MFP124
Drug	MFP125
Drug	MFP126
Drug	MFP127
Drug	MFP128
Drug	MFP129
Drug	MFP130
Drug	MFP131
Drug	MFP132
Drug	MFP133
Drug	MFP134
Drug	MFP135
Drug	MFP136
Drug	MFP137
Drug	MFP138
Drug	MFP139
Drug	MFP140
Drug	MFP141
Drug	MFP142
Drug	MFP143
Drug	MFP144
Drug	MFP145
Drug	MFP146
Drug	MFP147
Drug	MFP148
Drug	MFP149
Drug	MFP150
