LeeAML_Drug_Name,Alternate_Name,BeatAML_Drug_Name,cid
ABT-737,,ABT-737,3004
AC-220,,Quizartinib (AC220),3295
AP24534,,Ponatinib (AP24534),3302
Axitinib,AG-013736,Axitinib (AG-013736),2735853
AZD0530,Saracatinib,Saracatinib (AZD0530),10302451
AZD2171,cediranib maleate,Cediranib (AZD2171),9933475
AZD-6244,Selumetinib,Selumetinib (AZD6244),10127622
BAY 11-7085,,Bay 11-7085,5353432
BI-2536,,BI-2536,11364421
BMS-754807,,BMS-754807,3071
Bortezomib,,Bortezomib (Velcade),93860
CAL-101,Idelalisib,Idelalisib,11625818
Crizotinib,,Crizotinib (PF-2341066),3102
Dasatinib,,Dasatinib,3111
DBZ,,DBZ,10115684
Everolimus,"RAD001,SDZ-RAD,Certican",Everolimus,85201
Flavopiridol,alvocidib,Flavopiridol,5287969
GDC-0449,Vismodegib,Vismodegib (GDC-0449),3188
GDC-0941,,GDC-0941,16723044
Gefitinib,Iressa,Gefitinib,3154
GSK-1120212,Trametinib,Trametinib (GSK1120212),3203
INCB-018424,Ruxolitinib,Ruxolitinib (INCB018424),3270
Lapatinib,"Tycerb, Tykerb",Lapatinib,208908
Lenalidomide,,Lenalidomide,3400
Masitinib,,Masitinib (AB-1010),3385
MLN8237,,Alisertib (MLN8237),24771867
Nilotinib,"AMN-107, AMN107, Tasigna",Nilotinib,3353
Olaparib,AZD-2281,Olaparib,3332
Panobinostat,LBH589,Panobinostat,3318
Pazopanib,"GW786034, VOTRIENT",Pazopanib (GW786034),10113978
PD0332991,Palbociclib,Palbociclib,3319
PI-103,,PI-103,3311
PKC412,Midostaurin,Midostaurin,104937
PLX-4032,RG7204,Vemurafenib (PLX-4032),42611257
PLX-4720,,PLX-4720,24180719
Rapamycin,Sirolimus,Rapamycin,5040
SB-431542,,SB-431542,9778
SKI-606,Bosutinib,Bosutinib (SKI-606),3076
SNS-032,BMS-387032,SNS-032 (BMS-387032),3025986
Sorafenib,,Sorafenib,7524
Staurosporine,,Staurosporine,5279
Sunitinib,"Sutent, SU11248",Sunitinib,3086686
Tandutinib,"MLN518, CT53518",Tandutinib (MLN518),3231
Tanespimycin,,17-AAG (Tanespimycin),151069
TKI258,Dovitinib,Dovitinib (CHIR-258),3122
Tozasertib,"VX-680, MK-0457",Tozasertib (VX-680),15073
Vandetanib,"ZD6474, Zactima",Vandetanib (ZD6474),3081361
Vatalanib,,Vatalanib (PTK787),151193
YM-155,,YM-155,10126189
