LeeAML_Drug_Name	Alternate_Name	BeatAML_Drug_Name
ABT-737		ABT-737
AC-220		Quizartinib
AP24534		Ponatinib
Axitinib	AG-013736	Axitinib
AZD0530	Saracatinib	AZD0530
AZD2171	cediranib maleate	AZD2171
AZD-6244	Selumetinib	AZD-6244
BAY 11-7085		Bay11-7085
BI-2536		BI-2536
BMS-754807		BMS-754807
Bortezomib		Bortezomib
CAL-101	Idelalisib	Idelalisib
Crizotinib		Crizotinib
Dasatinib		Dasatinib
DBZ		DBZ
Everolimus	RAD001,SDZ-RAD,Certican	Everolimus
Flavopiridol	alvocidib	Flavopiridol
GDC-0449	Vismodegib	Vismodegib
GDC-0941		GDC-0941
Gefitinib	Iressa	Gefitinib
GSK-1120212	Trametinib	Trametinib
INCB-018424	Ruxolitinib	Ruxolitinib
Lapatinib	Tycerb, Tykerb	Lapatinib
Lenalidomide		Lenalidomide
Masitinib		Masitinib
MLN8237		MLN8237
Nilotinib	AMN-107, AMN107, Tasigna	Nilotinib
Olaparib	AZD-2281	Olaparib
Panobinostat	LBH589	Panobinostat
Pazopanib	GW786034, VOTRIENT	Pazopanib
PD0332991	Palbociclib	Palbociclib
PI-103		PI-103
PKC412	Midostaurin	Midostaurin
PLX-4032	RG7204	RG7204
PLX-4720		PLX-4720
Rapamycin	Sirolimus	Rapamycin
SB-431542		SB-431542
SKI-606	Bosutinib	Bosutinib
SNS-032	BMS-387032	SNS-032
Sorafenib		Sorafenib
Staurosporine		Staurosporine
Sunitinib	Sutent, SU11248	Sunitinib
Tandutinib	MLN518, CT53518	Tandutinib
Tanespimycin		Tanespimycin
TKI258	Dovitinib	Dovitinib
Tozasertib	VX-680, MK-0457	Tozasertib
Vandetanib	ZD6474, Zactima	Vandetanib
Vatalanib		Vatalanib
YM-155		YM-155
