drug,ablation,n_samples,MAE,RMSE,Pearson_r,Spearman_rho
AT-101,A1,85,51.1201,65.4873,-0.0778,-0.0446
AT-101,A2,85,51.6344,63.1317,0.02,0.062
AT-101,A3,85,54.1122,65.7824,-0.0411,-0.0119
BLZ945,A1,45,57.7848,72.5044,0.1185,0.0328
BLZ945,A2,45,62.8613,76.7533,0.2309,0.0349
BLZ945,A3,45,62.9896,78.0545,0.19,0.0495
BMS-754807,A1,41,52.0415,66.46,0.1284,0.1618
BMS-754807,A2,41,48.5786,65.2576,0.2914,0.386
BMS-754807,A3,41,49.4809,68.1546,0.2474,0.265
Birinapant,A1,86,65.2914,84.1726,0.0534,0.1393
Birinapant,A2,86,61.1517,80.1171,0.0763,0.1001
Birinapant,A3,86,64.2922,80.5625,0.1624,0.1649
Etomoxir,A1,44,26.157,32.9195,0.365,0.3751
Etomoxir,A2,44,26.6506,35.3931,0.3326,0.3525
Etomoxir,A3,44,29.9081,40.3949,0.1199,0.1273
GSK-2879552,A1,84,70.9103,80.8449,-0.237,-0.3214
GSK-2879552,A2,84,66.3472,75.0784,-0.2464,-0.2585
GSK-2879552,A3,84,80.4483,91.5973,-0.2665,-0.2925
Indisulam,A1,117,61.4622,80.5492,0.0559,0.0844
Indisulam,A2,117,65.3623,85.7765,0.0802,0.0933
Indisulam,A3,117,63.5217,82.8193,0.0626,0.0859
Metformin,A1,43,55.6403,64.0918,0.1422,0.1623
Metformin,A2,43,61.7319,69.4751,0.2358,0.3251
Metformin,A3,43,58.1259,66.1097,0.3018,0.2388
NVP-AEW541,A1,44,34.9435,45.6851,0.342,0.2449
NVP-AEW541,A2,44,35.8133,46.5129,0.2914,0.226
NVP-AEW541,A3,44,37.807,48.3376,0.3102,0.2574
PH-797804,A1,45,73.7132,89.0019,0.1913,0.1741
PH-797804,A2,45,69.4371,86.0976,0.1342,0.1014
PH-797804,A3,45,78.3127,94.3313,0.0707,0.045
Perhexiline maleate,A1,37,68.2262,83.8305,-0.0654,0.0146
Perhexiline maleate,A2,37,68.8676,85.2966,0.0029,0.0421
Perhexiline maleate,A3,37,75.574,92.2358,-0.0775,-0.0392
Ralimetinib (LY2228820),A1,42,72.0943,89.3833,0.267,0.2379
Ralimetinib (LY2228820),A2,42,75.4991,94.5193,0.2547,0.1837
Ralimetinib (LY2228820),A3,42,71.5925,89.5962,0.2845,0.3552
Ranolazine,A1,45,73.7983,88.2662,-0.1059,0.054
Ranolazine,A2,45,79.0937,89.9659,-0.0858,0.0882
Ranolazine,A3,45,75.7485,89.0618,-0.1227,0.002
XMD 8-87,A1,45,38.3368,48.8381,0.2965,0.3621
XMD 8-87,A2,45,40.7309,51.6945,0.2667,0.2622
XMD 8-87,A3,45,41.2907,52.3964,0.2187,0.2713
