Drug,Mean_Predicted_AUC,SD_Predicted_AUC
SNS-032,133.4518307317073,8.450761877653292
Panobinostat,142.63362098387097,15.887188983854571
Selinexor,157.59687012048192,3.449557985621431
Venetoclax,160.8383724130435,28.484466537550695
AT7519,163.3198962962963,4.731466454314261
Foretinib,165.23450822580645,7.022852421203348
JQ1,167.28460106194692,4.286266748095505
Trametinib,172.5139083870968,10.109432105631905
Volasertib,176.893742920354,4.043758628255241
Quizartinib,177.15359403225807,5.990697756347246
Dovitinib,177.91882572580644,8.047649563905066
Pelitinib,179.21217240963855,6.143812890105445
17-AAG,179.4177195967742,7.576776072423396
Neratinib,184.04150725663717,4.941350293355201
Lestaurtinib,186.19777991869918,4.896250559710942
Afatinib,189.87573056451612,3.285748391327969
CI-1040,196.04812036144577,6.521239958216357
Doramapimod,197.70793588709677,5.540066908943197
Dasatinib,198.1314458064516,8.515060251378246
Lenvatinib,198.38563457831324,5.876530386639996
Cabozantinib,200.08265309734514,7.502785811967626
Tivozanib,200.78284951219513,6.316699806234923
Regorafenib,202.0960909322034,6.140845718982889
Idelalisib,203.51301241935482,4.9983478802392
Crizotinib,203.68711112903225,5.113127702211941
Metformin,204.12400188679243,4.190893607143518
Ralimetinib,204.96829783018867,2.92096066603666
Sorafenib,206.3208685483871,7.407507037584436
Birinapant,208.16697578313253,2.7521761867750243
Sunitinib,208.6693054032258,6.9680629354293835
Entospletinib,208.90826203125,4.783481717690904
Midostaurin,209.97729838983054,5.506289009416148
Axitinib,210.05907991935484,5.900445413581598
Selumetinib,210.4214741935484,11.468721479659655
Tandutinib,210.56577270491806,5.015215286918296
MK-2206,211.37215813008132,5.221827615157391
KW-2449,213.06903939759036,9.523634685323321
Masitinib,213.38659414634148,5.408643269873759
GSK-1838705A,214.28193602409638,5.780831407415025
Ibrutinib,214.62342973451328,5.966762214243213
Bosutinib,215.1645949193548,4.958582134798614
BMS-754807,215.17096129032257,3.338527088117493
Crenolanib,215.41115942857144,5.999698002856355
NVP-AEW541,215.94097662650603,6.38089001974021
PH-797804,216.17187361445784,4.575536041767522
Linifanib,217.0492292920354,6.454048785073748
AZD1152-HQPA,217.97677475806452,7.750650737721465
Canertinib,218.77394991935483,5.872749567513572
Tofacitinib,219.62337556451612,4.335459670504149
Pazopanib,220.9117314516129,5.325394013996077
Erlotinib,221.09832056451614,6.58369993439665
Tozasertib,221.26101759036143,4.824343114668085
Vatalanib,222.70434887096775,5.668051205359526
Saracatinib,222.92260032520326,5.232093217998673
Vandetanib,225.23174782258064,5.8610713510432895
Lapatinib,226.53251346774195,5.591644679858541
Nilotinib,227.26948362903224,7.133728600339023
AZD1480,227.37405725663717,4.740539445382477
Imatinib,228.24330588709677,4.81834027274059
Alisertib,228.67133911290324,5.04119189589129
Olaparib,229.21761862903227,4.870849889404089
GSK-1904529A,229.3535612048193,5.470771643680047
Motesanib,229.99812854838711,6.528862100343265
AGI-6780,230.36947108433733,7.479444295693398
Ruxolitinib,230.38599274193547,3.7494957274882488
JNJ-38877605,233.1470648192771,4.410980019553853
Palbociclib,233.64071822580644,10.358922842179874
TG100-115,233.9810125301205,4.395315587540908
Lenalidomide,234.50572153225806,5.967193996912373
Gefitinib,235.89109153225806,4.855739383464535
Vemurafenib,239.23936629032258,5.6296377138077
SGX-523,239.55473409638554,4.721817721089542
AGI-5198,239.84063433734937,5.425713774389997
Cediranib,240.9421577419355,5.2952752519368955
Vismodegib,255.84578072580646,4.9459186735600715
