Drug,Mean_Predicted_AUC,SD_Predicted_AUC
SNS-032,147.35578866666668,4.300567488785423
Panobinostat,158.027049,4.866416209799103
Flavopiridol,168.77916433333334,3.6035384401806922
PI-103,170.35845133333333,2.6108108223476902
GSK-1120212,178.45237933333334,3.46035335492553
AP24534,179.67191233333332,2.6774542230694345
Bortezomib,181.16003066666664,1.8102300820707933
AC-220,186.673352,2.310075593677879
Tanespimycin,186.675248,2.5503505708950724
GDC-0941,186.70215,1.9363687398056553
BI-2536,188.14319733333335,1.6701590699255926
TKI258,188.84024366666665,4.2689913579330145
ABT-737,200.10848333333334,3.4634389881737926
Everolimus,204.06753166666667,2.173580058227601
Dasatinib,204.48851133333335,2.8908021640830293
Staurosporine,204.84403733333332,1.7511977583414864
CAL-101,205.62397133333334,1.7087303560180207
Crizotinib,208.43747866666666,2.2990147141550934
AZD-6244,208.919575,1.8286714905178487
Sunitinib,209.99068233333335,2.151506620518692
Tandutinib,210.40387199999998,1.8971031189874064
AZD0530,211.37060233333332,1.9753793742515688
Rapamycin,211.948147,1.281493199678296
Sorafenib,212.33349433333333,2.5944118564644443
PKC412,212.36573966666668,1.6842759217508192
Axitinib,213.13919266666664,2.4717128718652592
BAY 11-7085,214.97725733333334,2.0267037184822825
SKI-606,216.36801366666666,1.975595733662484
Masitinib,216.43804666666668,2.350750250712099
MLN8237,217.15990733333334,1.8653897635243992
BMS-754807,219.61403933333335,1.4651384743898672
Pazopanib,221.19239833333333,1.9498339330066072
Vandetanib,222.33028366666667,2.258323779685502
DBZ,223.03601766666668,2.473018710351696
PLX-4720,223.075229,1.8977633535120872
Vatalanib,223.07975666666667,2.139850658718055
Olaparib,223.72939966666667,1.8244525289190663
Lapatinib,223.85421233333332,2.154001275147196
Nilotinib,224.00451999999999,2.5918887267143553
Tozasertib,224.95609533333334,2.1865004579050265
SB-431542,228.57087133333334,2.1686498835557617
Lenalidomide,228.63257866666666,2.4261959328953977
INCB-018424,229.79078399999997,1.536780185561744
PLX-4032,231.52456433333333,2.241418337244471
Gefitinib,231.86539533333334,2.150805017098829
PD0332991,231.9624213333333,4.289589838670555
YM-155,233.01618433333334,1.9628379621278573
AZD2171,233.35514866666665,2.435602428995594
GDC-0449,246.82906,2.500258604161328
