"feature","p_value","q_value","method","beta","r_squared"
"Monocyte-like",1.99830957609234e-21,2.11021491235351e-19,"linear_regression",-0.306147705304047,0.405875198340544
"cDC-like",3.01691884635817e-28,7.96466575438556e-26,"linear_regression",-0.501920529608071,0.50340920137257
"M1",1.35178594540925e-24,2.03926565478881e-22,"linear_regression",-0.47986555088524,0.453345741329438
"M6",6.80269935615644e-15,4.78910034673413e-13,"linear_regression",-0.327915300739317,0.295003515586404
"M9",9.82366141861158e-08,1.24985379012697e-06,"linear_regression",0.349763008011295,0.15102898432018
"GAS7_Expr",1.70418298363701e-11,5.62380384600214e-10,"linear_regression",-0.0477951553327554,0.229708769007237
"CD74_Expr",2.14667034605927e-13,1.07946851687552e-11,"linear_regression",-0.0370076345154248,0.266876439057034
"FAS_Expr",2.15153239676058e-12,8.41488226288583e-11,"linear_regression",-0.0563181142470451,0.247507153950353
"ARID1B_Expr",1.9158891438518e-08,2.97526314104044e-07,"linear_regression",0.0684367659142541,0.166396153440231
"HERPUD1_Expr",3.21714772313429e-09,6.06662142076751e-08,"linear_regression",-0.0422703511418339,0.182900021932077
"PRKACA_Expr",3.54138810816425e-14,2.15522940946365e-12,"linear_regression",-0.0803568390723357,0.281690690420556
"FCGR2B_Expr",1.64925492251179e-18,1.58328472561132e-16,"linear_regression",-0.0284079268221231,0.358639659875731
"PICALM_Expr",1.50676939111461e-10,3.88084994394396e-09,"linear_regression",-0.093364500726658,0.210544884232241
"ARHGEF10L_Expr",4.07978791520175e-25,7.18042673075508e-23,"linear_regression",-0.0233957553590281,0.46077229586969
"PCM1_Expr",9.50409269132025e-09,1.59888776274704e-07,"linear_regression",0.100255164183135,0.172914520810776
"CD209_Expr",4.68352976932736e-10,1.09906831920215e-08,"linear_regression",-0.0181802662810216,0.200402159349284
"JAK2_Expr",7.62569393088369e-12,2.61266916320191e-10,"linear_regression",-0.0815768025754865,0.236670715834924
"SMARCB1_Expr",2.97538587444098e-08,4.36389928251344e-07,"linear_regression",0.0858240754219244,0.162280926050047
"PATZ1_Expr",3.05528609840186e-09,5.86614930893156e-08,"linear_regression",0.0741792954131792,0.183373253909999
"SALL4_Expr",5.76117545830179e-08,7.79974523585474e-07,"linear_regression",0.0167234360074801,0.156071589546926
"AKT2_Expr",2.05357895723315e-10,5.04320785776327e-09,"linear_regression",0.155615983799678,0.207787424976349
"CDK6_Expr",7.61948370880019e-09,1.34102913274883e-07,"linear_regression",0.0346656949688212,0.174960437241536
"PRPF40B_Expr",4.1748186026231e-11,1.22461345676944e-09,"linear_regression",0.052951704309917,0.221882680860629
"TFEB_Expr",2.49145924443618e-12,9.39636057901647e-11,"linear_regression",-0.0433970030687881,0.246258307850681
"BCL6_Expr",1.285581374215e-12,5.43029572468414e-11,"linear_regression",-0.0292109006853344,0.251876080807212
"MYCL_Expr",3.78760340131811e-22,4.9996364897399e-20,"linear_regression",-0.0277450159251948,0.417036566446919
"MYB_Expr",7.84943166054482e-09,1.3588524317271e-07,"linear_regression",0.0396324266222774,0.174685459001434
"SGK1_Expr",1.80551220050635e-11,5.74773911886684e-10,"linear_regression",-0.0263761680227373,0.229206466850507
"SMO_Expr",4.03822755488868e-09,7.35235913441801e-08,"linear_regression",0.0247022642742857,0.180813347557056
"CLIP1_Expr",2.50752611942221e-10,6.0180626866133e-09,"linear_regression",-0.0867971535056742,0.206004148673985
"RARA_Expr",1.92965351961074e-11,5.82204033345412e-10,"linear_regression",-0.0572549337270428,0.228627802473039
"NOTCH2_Expr",5.16587654200581e-11,1.47436908874544e-09,"linear_regression",-0.0612740007879383,0.22001144852874
"LCP1_Expr",2.51704071844898e-08,3.79713571240303e-07,"linear_regression",-0.0655709444510631,0.163846887609239
"KLF4_Expr",3.67368649340396e-14,2.15522940946365e-12,"linear_regression",-0.0238349825576082,0.281392022342846
"IRF4_Expr",7.65612129167058e-12,2.61266916320191e-10,"linear_regression",-0.0285132736633096,0.236636384202559
"USP8_Expr",9.65935648712566e-08,1.24393664029326e-06,"linear_regression",-0.0986007061863464,0.151188740581353
"COL2A1_Expr",4.1662003626589e-08,5.94528051752405e-07,"linear_regression",0.0184933215160078,0.159122337320455
"ZFHX3_Expr",7.24814656074915e-11,2.0142217810924e-09,"linear_regression",-0.0273717080970362,0.217027744905661
"ARHGAP26_Expr",1.21352477996094e-16,1.06790180636563e-14,"linear_regression",-0.058256153868407,0.326508313942313
"JAZF1_Expr",8.4763917744116e-14,4.47553485688933e-12,"linear_regression",-0.03285182151074,0.274551444569956
"ARHGAP35_Expr",4.30214361105936e-08,6.05741820437157e-07,"linear_regression",0.0855932076617167,0.158820540736624
"B2M_Expr",6.47764514449752e-13,2.9740840315606e-11,"linear_regression",-0.109892090319274,0.257654336909665
"MAP2K1_Expr",2.41220682881703e-08,3.6917252336678e-07,"linear_regression",-0.0512412505548729,0.164244718240109
"GPHN_Expr",6.53013415115463e-08,8.61977707952411e-07,"linear_regression",0.0266111723094875,0.154889953444204
"MALT1_Expr",1.99959001396867e-09,4.06070587452098e-08,"linear_regression",-0.0499630400116195,0.187250446811618
"MYD88_Expr",5.33758173466518e-13,2.56203923263928e-11,"linear_regression",-0.0748146876170981,0.259278638404768
"CSF1R_Expr",1.85059782236243e-11,5.74773911886684e-10,"linear_regression",-0.0278833128553882,0.228991878354454
"MAML2_Expr",1.54956624846994e-09,3.20851364389071e-08,"linear_regression",-0.034696234331318,0.18957450683652
"AMER1_Expr",6.34214280770227e-08,8.47759848725772e-07,"linear_regression",0.0684233302449394,0.155165577528364
"BCR_Expr",1.09432320684073e-07,1.37572060288548e-06,"linear_regression",0.0482760727665767,0.150006160273655
"SRGAP3_Expr",1.32099188652679e-08,2.17963661276921e-07,"linear_regression",0.0212014125701918,0.169858618662463
"SIRPA_Expr",4.53733320933223e-08,6.30450509086163e-07,"linear_regression",-0.0354861032701353,0.158320063234546
"MAFB_Expr",9.15604254330327e-22,1.07430899174758e-19,"linear_regression",-0.024114247296118,0.411138788104183
"LYN_Expr",8.2498453509808e-08,1.07553539390564e-06,"linear_regression",-0.0487023039699604,0.15268153108666
"VCAN_Expr",1.59701009393627e-30,5.62147553065565e-28,"linear_regression",-0.0211940730607141,0.532295993116194
"LGALS2_Expr",1.88751670730249e-37,1.99321764291143e-34,"linear_regression",-0.0261284382101777,0.610344830522569
"PRLR_Expr",3.3088211376932e-15,2.49579651528859e-13,"linear_regression",-0.0170328133939493,0.300745057689908
"FN1_Expr",2.30030029521277e-09,4.49836502174942e-08,"linear_regression",-0.0126647489930947,0.185970936959687
"CD300E_Expr",1.38400189753378e-36,7.30753001897833e-34,"linear_regression",-0.0233988102096468,0.601352145088903
"CES1_Expr",9.53881903911589e-09,1.59888776274704e-07,"linear_regression",-0.0124435939666625,0.172880722461577
"AC104809.4_Expr",1.9651144329522e-14,1.29697552574845e-12,"linear_regression",-0.0166176099553337,0.28647062795288
"SF3A1_Mut",0.0169681040493961,0.0467841197811025,"wilcox_test",0.118728494224806,NA
"AUC__KRAS_signaling_up",9.64131280897595e-11,2.54530658156965e-09,"linear_regression",-2.01312101293687,0.214506048030332
"AUC__Phopholipase",7.66976742985409e-12,2.61266916320191e-10,"linear_regression",-1.3100147551319,0.23662103089755
"AUC__Hypoxia/Adenosine_Immune_Cell_Suppression",1.6127970029305e-08,2.54196064939493e-07,"linear_regression",-0.277681611944897,0.168001443954526
"AUC__Immunogenic_Cell_Death_(ICD)",1.29420055360794e-09,2.73335156921998e-08,"linear_regression",-0.704552679259559,0.191212432984525
"Apoptosis",8.62283094686937e-16,7.00439190761081e-14,"linear_regression",-2.43863493832865,0.311338171267824
"PI3K_Akt_mTOR_signaling",8.16064818900166e-11,2.2096524327143e-09,"linear_regression",-5.51117512663364,0.215980605700996
"p53_pathway",2.18049933702219e-09,4.3445420752744e-08,"linear_regression",-2.09543863845587,0.186459631538168
"KRAS_signaling_up",7.13113062895694e-14,3.96340733904133e-12,"linear_regression",-1.61737431573656,0.275970407220334
"HMGB1_Signaling",1.7242259724174e-10,4.33519673064947e-09,"linear_regression",-2.14641913030686,0.209345327311885
"ErbB_Signaling",8.6572483449442e-10,1.90459463588772e-08,"linear_regression",-2.9586385509656,0.194858941060399
"PI3K_AKT_Signaling",1.52817269375398e-08,2.44507631000637e-07,"linear_regression",-3.83504314919777,0.168503311491308
"HER_2_Signaling_in_Breast_Cancer",3.28354214795825e-08,4.74989110718345e-07,"linear_regression",-2.63546351215803,0.161357276880239
"mTOR_Signaling",8.42020660681677e-10,1.89185918655287e-08,"linear_regression",-5.05246833971669,0.195110180996446
"p38_MAPK_Signaling",4.96886765338627e-09,8.89343091860321e-08,"linear_regression",-2.68957299578927,0.178905520647124
