"feature","p_value","q_value","method","beta","r_squared"
"Monocyte-like",7.24425032930873e-15,1.24238893147645e-12,"linear_regression",-0.191724679479506,0.338422059642793
"M12",2.02327761812727e-09,6.71597635178376e-08,"linear_regression",-0.224237833296757,0.217594196366367
"M14",3.99701491052112e-18,2.05646417146312e-15,"linear_regression",-0.23833994233184,0.401944283699278
"M3",3.59765535257438e-07,6.38273682379144e-06,"linear_regression",-0.262604769525387,0.162031442399234
"M6",1.1688313470192e-11,8.01818304055169e-10,"linear_regression",-0.217786583201104,0.269567988289422
"HOXA11_Expr",2.46378315169126e-07,4.60951429652783e-06,"linear_regression",0.007704552377013,0.166202586595398
"FAS_Expr",3.04375080316196e-07,5.54784284917344e-06,"linear_regression",-0.0323999577879831,0.163875622542572
"FSTL3_Expr",4.76822060684466e-07,7.54245430297991e-06,"linear_regression",-0.0257371243721455,0.158916808382599
"TP63_Expr",1.51728247137707e-07,3.12256732609401e-06,"linear_regression",0.0132925843354249,0.171518697464503
"PCM1_Expr",1.9011184127796e-07,3.74698552411603e-06,"linear_regression",0.0702225982308056,0.169049120659695
"HIF1A_Expr",3.07314910012523e-07,5.54784284917344e-06,"linear_regression",-0.0249980925329119,0.163769686534181
"ERCC2_Expr",5.16749618997927e-11,2.95408532193815e-09,"linear_regression",0.0669345892813671,0.254916152835298
"AKT2_Expr",6.37246721600536e-07,9.50328806560799e-06,"linear_regression",0.0894104135692491,0.15570038758983
"BMPR1A_Expr",1.92993423496744e-07,3.74698552411603e-06,"linear_regression",0.0139969217493361,0.168884167984443
"PRPF40B_Expr",2.12708045200971e-11,1.36797861569874e-09,"linear_regression",0.0393501648859066,0.263698605592991
"BCL6_Expr",3.48314742881101e-10,1.49339946010272e-08,"linear_regression",-0.0194878051458979,0.235706877535722
"SGK1_Expr",7.1505266687997e-08,1.75187903385593e-06,"linear_regression",-0.0161514855245555,0.179712488375414
"CSF3R_Expr",8.02359170021897e-08,1.84955011013988e-06,"linear_regression",-0.0281530934564843,0.178462261026725
"USP44_Expr",4.80324133399689e-07,7.54245430297991e-06,"linear_regression",0.0106548163198692,0.158835771511348
"RAP1GDS1_Expr",5.15963383722207e-10,2.1237052874006e-08,"linear_regression",0.079326357266239,0.231695101411319
"GPC3_Expr",1.95788756802931e-08,5.16581104487732e-07,"linear_regression",0.017404884223267,0.193658205578978
"NOTCH1_Expr",5.8275720368642e-07,8.81848768519598e-06,"linear_regression",-0.0406501181848169,0.156692785527291
"ZEB1_Expr",6.39406983497109e-10,2.43685105932787e-08,"linear_regression",-0.023168098574554,0.229496910661986
"FOXO1_Expr",3.7018075260749e-07,6.40144562538971e-06,"linear_regression",-0.0191139296935939,0.161716317599062
"ERG_Expr",1.1900934305563e-08,3.30974632443901e-07,"linear_regression",-0.0187911434462558,0.198962986977478
"TAL1_Expr",3.80592202001023e-07,6.42015370260742e-06,"linear_regression",-0.0118144006000207,0.161409953945818
"B2M_Expr",4.83772579199878e-07,7.54245430297991e-06,"linear_regression",-0.0594286937409085,0.158756544747446
"IL7R_Expr",8.08841156037848e-08,1.84955011013988e-06,"linear_regression",-0.0189859765174488,0.178374877961735
"MN1_Expr",1.1219353667077e-07,2.40514894237964e-06,"linear_regression",-0.0121420551453193,0.174814675119788
"ERCC4_Expr",4.78242290712227e-07,7.54245430297991e-06,"linear_regression",0.0405911283886692,0.158883873949803
"LCK_Expr",9.58845976694523e-07,1.40950358574095e-05,"linear_regression",-0.0198426475322014,0.151152406650737
"MAML2_Expr",2.78743301255845e-09,8.96333928100828e-08,"linear_regression",-0.024929358433593,0.214254152050885
"NF2_Expr",9.85820614735315e-08,2.20523785339704e-06,"linear_regression",0.0768860245291715,0.176223477811574
"SRGAP3_Expr",7.08135294665402e-11,3.64000208030898e-09,"linear_regression",0.0172328387623941,0.251775350680466
"MTOR_Expr",7.46444298927471e-09,2.19454623884676e-07,"linear_regression",0.0867189734802855,0.203905647286209
"MAFB_Expr",2.34872866782661e-07,4.47563296146959e-06,"linear_regression",-0.0105275243654208,0.166728280970526
"PROM1_Expr",5.15558997505722e-08,1.29392733764241e-06,"linear_regression",-0.00933521772727201,0.183253606725552
"LTF_Expr",1.83770097000626e-12,1.57582858178037e-10,"linear_regression",-0.0120281870539869,0.287427238803558
"VCAN_Expr",1.50314053803545e-09,5.15577204546158e-08,"linear_regression",-0.00944144141433516,0.220680542046736
"CEACAM6_Expr",2.63986791340294e-14,3.88060583270232e-12,"linear_regression",-0.0135776541306069,0.326833274512411
"PHACTR3_Expr",1.11921174591985e-07,2.40514894237964e-06,"linear_regression",0.00926910540223472,0.174841168892316
"MMP8_Expr",6.5870540235821e-14,8.47259823783248e-12,"linear_regression",-0.0132923212308364,0.318521211024306
"EPX_Expr",1.23334885409137e-09,4.37626196848282e-08,"linear_regression",-0.0104832011280294,0.222729049754112
"CEACAM8_Expr",7.87158900068171e-17,2.02496627042537e-14,"linear_regression",-0.0147580931592321,0.37745336033664
"LCN2_Expr",5.52268775828334e-10,2.18570988587445e-08,"linear_regression",-0.0117187461445351,0.23099888646165
"DEFA4_Expr",1.2260120539026e-10,5.48507131941643e-09,"linear_regression",-0.0112875365580795,0.246274508651197
"IRX5_Expr",1.31387951559892e-08,3.55784742513496e-07,"linear_regression",0.00908149943420123,0.1979110211799
"IRX3_Expr",1.24163671514123e-07,2.60743710179659e-06,"linear_regression",0.00766684273694454,0.173709019861629
"CD300E_Expr",5.45746406248407e-11,2.95564764226111e-09,"linear_regression",-0.0105763817439811,0.254372798659505
"DEFA1_Expr",2.55110029306953e-11,1.54416600092267e-09,"linear_regression",-0.0104360559386286,0.261907996953156
"DEFA3_Expr",4.06193509588994e-09,1.26658521626386e-07,"linear_regression",-0.00993372991637307,0.210312575952718
"DEFA1B_Expr",4.56480046385588e-12,3.61321513639054e-10,"linear_regression",-0.0107270551299154,0.278696184135727
"NPM1_Mut",0.00950984423438766,0.0277213306435833,"wilcox_test",0.0304330795182595,NA
"AUC__Apoptosis",9.21331501309543e-09,2.63347254124311e-07,"linear_regression",-1.53991375789351,0.2016785502178
"AUC__Oxidative_phosphorylation",7.3787746194098e-12,5.4233993452662e-10,"linear_regression",2.59384779283885,0.27404726743673
"AUC__Angiogenesis",1.49077826370643e-12,1.39455530304902e-10,"linear_regression",-0.672512637271,0.289420717890253
"AUC__KRAS_signaling_up",1.5429257467432e-15,3.17534118679751e-13,"linear_regression",-1.94868448617446,0.352029641641961
"AUC__p38_MAPK_Signaling",1.13405187742936e-12,1.16693938187481e-10,"linear_regression",-2.33882786913463,0.292018750154204
"AUC__Telomere_Extension_by_Telomerase",7.40997170146203e-08,1.77322346065219e-06,"linear_regression",1.86656527768024,0.17932586607074
"AUC__Phopholipase",4.47737392604512e-07,7.4309964030652e-06,"linear_regression",-1.08990480454102,0.15961350557041
"AUC__Immunogenic_Cell_Death_(ICD)",6.8477137727116e-09,2.07244043297654e-07,"linear_regression",-0.626129904624026,0.204816442587659
"Apoptosis",9.88497732044184e-11,4.62347348306121e-09,"linear_regression",-1.47957126930341,0.248437009430305
"Oxidative_phosphorylation",1.7129471443665e-07,3.45612276775122e-06,"linear_regression",1.64295916986716,0.170191221285061
"Reactive_oxigen_species_pathway",3.73262135591237e-07,6.40144562538971e-06,"linear_regression",-1.70243275708461,0.161624766813427
"Angiogenesis",7.88695319985568e-13,9.01741649183499e-11,"linear_regression",-0.578611903884934,0.295454658185288
"KRAS_signaling_up",1.07998673226976e-18,1.11130634750558e-15,"linear_regression",-1.33606515323218,0.412398484811654
"HMGB1_Signaling",5.4734326534212e-07,8.40621223935883e-06,"linear_regression",-1.28853014310327,0.157388283565739
"p38_MAPK_Signaling",4.24719395035269e-17,1.45678752497097e-14,"linear_regression",-2.71797767786832,0.382602506295374
"Phopholipase",1.12295062693460e-09,4.12684355398464e-08,"linear_regression",-0.814593811274782,0.223698391454116
"Hypoxia/Adenosine_Immune_Cell_Suppression",4.59299638236059e-08,1.18154831936226e-06,"linear_regression",-0.209262742695488,0.184501369487321
"Immunogenic_Cell_Death_(ICD)",7.42857567409996e-11,3.64000208030898e-09,"linear_regression",-0.458012058750025,0.25129709915709
