"feature","p_value","q_value","method","beta","r_squared"
"Monocyte-like",2.04216940307496e-36,2.64460937698207e-34,"linear_regression",-0.239601853694739,0.646963894218337
"cDC-like",1.41997702093034e-43,7.35548096841916e-41,"linear_regression",-0.370193225086552,0.715205042336948
"M1",5.14005476650242e-54,5.3250967380965e-51,"linear_regression",-0.395425486042305,0.791872876728158
"M11",2.85232219434755e-23,1.84687862084004e-21,"linear_regression",0.522366518803885,0.476636974045024
"M14",6.79596132848127e-08,3.72519361709344e-07,"linear_regression",-0.142982366012236,0.173828732971391
"M16",6.36721655591028e-15,1.1779350628434e-13,"linear_regression",-0.350391546844826,0.328702220446286
"M4",2.04962180471049e-12,2.21188353091673e-11,"linear_regression",0.29835536418711,0.276850501677073
"M6",7.27845982936563e-34,7.5404843832228e-32,"linear_regression",-0.295905911757915,0.61888635519057
"M7",1.25010846330785e-10,1.01977351809995e-09,"linear_regression",0.214946936725059,0.237654722659239
"GAS7_Expr",3.02297091116631e-12,3.16343218582656e-11,"linear_regression",-0.0337427807142062,0.273227745377188
"CD79B_Expr",1.04509938046651e-07,5.52409672532297e-07,"linear_regression",-0.0199210862243625,0.169301684914351
"WAS_Expr",7.07713438292139e-11,6.05943076091451e-10,"linear_regression",-0.0640205670434272,0.243195009651342
"CD74_Expr",1.3212836384931e-14,2.24401614668663e-13,"linear_regression",-0.025465544893465,0.322348710110116
"FAS_Expr",5.2340415348629e-15,9.85903096385084e-14,"linear_regression",-0.0412874732815848,0.330398067477895
"BCLAF1_Expr",1.38439012936561e-07,7.10013947536026e-07,"linear_regression",0.0487459308250842,0.166333080827002
"ARID1B_Expr",5.12176971798249e-22,2.65307671391493e-20,"linear_regression",0.0718347947564358,0.456649914450137
"HERPUD1_Expr",6.99169643071027e-10,5.07221726745607e-09,"linear_regression",-0.0292769865780938,0.220663668840181
"SMARCD1_Expr",1.78995351340378e-13,2.28937264183496e-12,"linear_regression",0.0739531102688649,0.299193256972235
"RHOA_Expr",2.21276778556656e-08,1.32510255829304e-07,"linear_regression",-0.0794505628279363,0.185533474351519
"CBFB_Expr",3.79364658881635e-07,1.81116030691877e-06,"linear_regression",0.0578114957471716,0.1556169399692
"FGFR3_Expr",1.84624437059734e-08,1.12512303996403e-07,"linear_regression",0.0165701849830739,0.187409046084598
"TCF3_Expr",3.59923901917151e-14,5.48354650567895e-13,"linear_regression",0.0526906696154318,0.313533045387973
"PRKACA_Expr",3.14965878434343e-27,2.33074750041414e-25,"linear_regression",-0.0699213572526745,0.535058353666998
"TFRC_Expr",8.67385636465815e-11,7.25406304110876e-10,"linear_regression",0.0311589953279413,0.24121819038238
"FCGR2B_Expr",1.93132782392588e-28,1.66737968798935e-26,"linear_regression",-0.0222550507594712,0.551632039117854
"PICALM_Expr",1.76830935144485e-14,2.9547878840272e-13,"linear_regression",-0.0721238773176794,0.319796341831893
"ARHGEF10L_Expr",1.01535789363638e-41,3.50636925935764e-39,"linear_regression",-0.0179941752956035,0.69890209573105
"N4BP2_Expr",4.74143783557811e-14,7.0173279966556e-13,"linear_regression",0.0544219369427404,0.311089218813479
"MLLT10_Expr",1.9460872305591e-09,1.31774272605178e-08,"linear_regression",0.0641077020345572,0.210397552526172
"PTPRC_Expr",3.58799536054596e-08,2.06509066306979e-07,"linear_regression",-0.0393708074896809,0.180509063661448
"GNAS_Expr",7.03625586952156e-08,3.8366110951707e-07,"linear_regression",0.0595866044892343,0.173463995152797
"CD209_Expr",8.04600526505438e-15,1.43718300941316e-13,"linear_regression",-0.0144126022255463,0.32667183707146
"HSP90AB1_Expr",1.80710118621122e-14,2.97167750621401e-13,"linear_regression",0.0668092258509075,0.319605915550332
"JAK2_Expr",3.37695165941257e-22,1.84132732586917e-20,"linear_regression",-0.0707459432334168,0.459578338149837
"ABL1_Expr",3.80256020143432e-15,7.43292899752067e-14,"linear_regression",0.066743508921299,0.333154010327884
"SMARCB1_Expr",2.15975213716697e-13,2.66369430250593e-12,"linear_regression",0.0742049621152197,0.297495767990483
"MAPK1_Expr",2.54029604170772e-09,1.697901096264e-08,"linear_regression",-0.0663698149751893,0.207705461374718
"PATZ1_Expr",1.98510287588875e-16,4.89658709385892e-15,"linear_regression",0.0652817740562068,0.358108920939827
"CCNB1IP1_Expr",7.26588393788827e-14,1.05564879672002e-12,"linear_regression",0.0453967704848821,0.307288028270607
"SALL4_Expr",2.97399900626287e-09,1.97504036569765e-08,"linear_regression",0.0120595624470282,0.206109068012414
"PTK6_Expr",7.00122653712566e-10,5.07221726745607e-09,"linear_regression",-0.0174857875592904,0.220650089052997
"UBR5_Expr",2.58161170667148e-08,1.52831413034951e-07,"linear_regression",0.0752430699465058,0.183933773347476
"AKT2_Expr",1.90914763473142e-14,3.09043273372149e-13,"linear_regression",0.117659635781593,0.319123630569342
"CRTC1_Expr",5.04395030643385e-08,2.83256644275515e-07,"linear_regression",0.0496424427070842,0.176952623239386
"CDK6_Expr",2.09112588636331e-16,4.99355525452242e-15,"linear_regression",0.0316036726567094,0.357677079427936
"SFRP4_Expr",1.61044256231144e-09,1.11921463605066e-08,"linear_regression",0.015010885455965,0.212305218041938
"CPEB3_Expr",7.33655534400017e-14,1.05564879672002e-12,"linear_regression",-0.0482589826589555,0.307201598297805
"MLLT6_Expr",4.14395438241332e-11,3.7659094212107e-10,"linear_regression",0.0561168742568379,0.248372860175467
"RNF43_Expr",1.39675229387136e-08,8.61330581220674e-08,"linear_regression",0.0225017679457414,0.190291371557548
"CBL_Expr",4.58783050781205e-07,2.18027174591435e-06,"linear_regression",-0.0404391021387618,0.153583826308089
