"feature","p_value","q_value","method","beta","r_squared"
"Monocyte-like",1.12330331121268e-25,1.29429503747506e-23,"linear_regression",-0.20425954251569,0.512951531825077
"cDC-like",1.00877696320354e-34,8.06495726483182e-32,"linear_regression",-0.336388169674768,0.628568453697404
"M1",1.28101050046219e-32,2.65681577795858e-30,"linear_regression",-0.334755285161529,0.604387670299587
"M11",4.6937865864421e-12,1.15891825955725e-10,"linear_regression",0.380682506635269,0.269105018505057
"M16",4.57093557397959e-09,6.23692130291689e-08,"linear_regression",-0.276193524426696,0.201741518039464
"M6",1.36094008056744e-20,1.2295576904655e-18,"linear_regression",-0.237627991603778,0.433039099195209
"M7",2.47249088346429e-07,2.17285851368853e-06,"linear_regression",0.168500852030248,0.160181509774937
"GAS7_Expr",3.28977636172206e-11,6.56057324443418e-10,"linear_regression",-0.0302989647495177,0.25059582495727
"WAS_Expr",2.04774300256442e-08,2.30060897050722e-07,"linear_regression",-0.0531135699266701,0.18633666867465
"CD74_Expr",1.21738983134911e-14,5.04973302043609e-13,"linear_regression",-0.0252511530081302,0.323064317169457
"FAS_Expr",8.59303460855007e-13,2.34499391817537e-11,"linear_regression",-0.0372974093104604,0.284893184779809
"ARID1B_Expr",5.15159565437077e-13,1.61884990714621e-11,"linear_regression",0.0558593891740651,0.289587276002961
"HERPUD1_Expr",6.25115200356061e-07,4.94843101350562e-06,"linear_regression",-0.0226718290979413,0.150266518590994
"SMARCD1_Expr",1.54741391984016e-07,1.43273949542343e-06,"linear_regression",0.0516503578741199,0.16515517241635
"CBFB_Expr",5.74823539034167e-07,4.62086829440645e-06,"linear_regression",0.0561292623475864,0.151166923174864
"TCF3_Expr",1.82025693943487e-07,1.62724693637411e-06,"linear_regression",0.0358087704381317,0.163434462833376
"PRKACA_Expr",2.35469378311857e-17,1.74415532363854e-15,"linear_regression",-0.0557006987126441,0.375562022690262
"TFRC_Expr",2.84152390295771e-07,2.45555023947262e-06,"linear_regression",0.0251082389715082,0.15870042798898
"FCGR2B_Expr",1.42282471413559e-20,1.2295576904655e-18,"linear_regression",-0.0187997238289613,0.432712156756267
"PICALM_Expr",1.02096612633086e-11,2.35275971778911e-10,"linear_regression",-0.0621835015301858,0.261770051213968
"ARHGEF10L_Expr",1.22841138271585e-30,2.1231043397939e-28,"linear_regression",-0.0161260957753249,0.58018105468313
"N4BP2_Expr",5.4295820762078e-08,5.52007511081126e-07,"linear_regression",0.0395561305532932,0.176181618437996
"CD209_Expr",1.81995876431878e-13,6.50792151240887e-12,"linear_regression",-0.0140960688386736,0.299043154827796
"HSP90AB1_Expr",6.01076102811762e-08,5.99342229438266e-07,"linear_regression",0.0469080606966972,0.175116403835438
"JAK2_Expr",3.79560507995935e-16,2.62402831194523e-14,"linear_regression",-0.0608720280151639,0.35270923841478
"ABL1_Expr",1.10788075956457e-09,1.7777919739954e-08,"linear_regression",0.0521277412223189,0.216062382612402
"SMARCB1_Expr",1.39999948342466e-08,1.68813891198997e-07,"linear_regression",0.0560709762395217,0.190267419083898
"PATZ1_Expr",1.12471459488382e-09,1.7777919739954e-08,"linear_regression",0.0490270477368531,0.215911224344278
"CCNB1IP1_Expr",1.71955784879955e-08,2.02634260136946e-07,"linear_regression",0.0340255372165358,0.188144268751277
"SALL4_Expr",7.63860852736251e-08,7.40302527371488e-07,"linear_regression",0.0103163790033482,0.17260125875232
"AKT2_Expr",1.31124354170508e-13,4.85628411695773e-12,"linear_regression",0.111518861463921,0.301997599143286
"CDK6_Expr",2.22514114375098e-09,3.34416140010112e-08,"linear_regression",0.0230584751121201,0.209044756560395
"CPEB3_Expr",1.65813714976818e-07,1.52167099496425e-06,"linear_regression",-0.0339116728246839,0.164423245178182
"PRPF40B_Expr",2.36435645483967e-10,4.22730628218748e-09,"linear_regression",0.0333165964892858,0.231404746084258
"BCL7A_Expr",3.71106821152662e-08,3.92691605648276e-07,"linear_regression",0.0200495015289824,0.180157488930359
"CHD4_Expr",9.36237426571623e-08,8.82616555777066e-07,"linear_regression",0.0408529044492576,0.170460734822266
"TFEB_Expr",9.19561865223391e-15,4.5053966513579e-13,"linear_regression",-0.0291173492571723,0.325510451260671
"LIFR_Expr",2.87874700943636e-07,2.46715756097976e-06,"linear_regression",0.00867195319987944,0.158561758778232
"BCL6_Expr",1.11236695005682e-14,4.80635219670384e-13,"linear_regression",-0.0203684081963475,0.323851822875012
"RPL22_Expr",6.15365607353803e-07,4.90872411404534e-06,"linear_regression",0.0356726417454227,0.150435329316893
"MYCL_Expr",5.98165002755579e-28,7.7537138482192e-26,"linear_regression",-0.0197456610992014,0.544992212717607
"MYB_Expr",5.53372991721689e-09,7.45256873266743e-08,"linear_regression",0.0259565029726247,0.199792348314754
"SGK1_Expr",3.47707585764211e-11,6.80325974410353e-10,"linear_regression",-0.0167546546571597,0.250063134124571
"DNMT3A_Expr",3.66892522026403e-07,3.04374036273104e-06,"linear_regression",0.0353930602291416,0.155974093279846
"CDKN1A_Expr",3.23813880500093e-07,2.70802414579513e-06,"linear_regression",-0.0148957400500835,0.157307439328943
"SMARCA4_Expr",3.0761615552215e-07,2.59347929493065e-06,"linear_regression",0.0525120677935479,0.157854760214606
"SMO_Expr",5.65227786841754e-07,4.57922824183515e-06,"linear_regression",0.0135732830107018,0.151347553922487
"CLIP1_Expr",6.60147879361357e-11,1.26772842758838e-09,"linear_regression",-0.0582640924734562,0.243869963544937
"RARA_Expr",3.18561364859375e-13,1.06563914631991e-11,"linear_regression",-0.0406270543269788,0.293970450918938
"NOTCH2_Expr",5.86624978410572e-10,9.97262463297972e-09,"linear_regression",-0.035495876128693,0.222411598651315
"IL6ST_Expr",9.08209328428218e-08,8.64048691357855e-07,"linear_regression",-0.0223296509086399,0.170780759211313
"TMEM127_Expr",1.67987187920687e-07,1.52809398134871e-06,"linear_regression",-0.0453386233697934,0.164285264266527
"USP44_Expr",4.48159270906878e-09,6.19654885240576e-08,"linear_regression",0.0100203772766241,0.201942568345521
"LCP1_Expr",3.24998737546576e-08,3.47447103954432e-07,"linear_regression",-0.0437270668098548,0.181539735052544
"KLF4_Expr",9.55821854675737e-15,4.5053966513579e-13,"linear_regression",-0.0147922730937539,0.325173774110644
"XPA_Expr",5.4234639282222e-08,5.52007511081126e-07,"linear_regression",-0.030437592580097,0.176193422179459
"IRF4_Expr",1.21886811345117e-10,2.29812042481611e-09,"linear_regression",-0.0176189271738306,0.237901956312022
"USP8_Expr",3.05295065858166e-07,2.59347929493065e-06,"linear_regression",-0.06062240973395,0.15793551773495
"COL2A1_Expr",3.11564235400658e-11,6.33513945314672e-10,"linear_regression",0.0143294607116948,0.251118670224223
"ZFHX3_Expr",1.79724516298578e-14,6.90275271857871e-13,"linear_regression",-0.0200030768125915,0.319653912689747
"ERBB2_Expr",1.91382582004879e-08,2.18092019273692e-07,"linear_regression",0.0306447876951558,0.187036998794526
"ARHGAP26_Expr",2.75262630732685e-20,2.19574883130611e-18,"linear_regression",-0.0406470576465686,0.427838538246402
"NONO_Expr",5.88849814066467e-08,5.92851706006725e-07,"linear_regression",0.0668081472895991,0.175331767417941
"FOXO1_Expr",1.2606433289784e-09,1.95117482410537e-08,"linear_regression",-0.0192841215924867,0.214766759266194
"JAZF1_Expr",1.53273497497219e-15,9.34968334733036e-14,"linear_regression",-0.0219582520952539,0.340931739379477
"MSI2_Expr",1.38489093782033e-08,1.68813891198997e-07,"linear_regression",0.0183978783947149,0.190379335731208
"KAT6B_Expr",1.11092332854342e-07,1.03786260513471e-06,"linear_regression",0.0453878397009661,0.168657505123353
"FGFR4_Expr",8.32182811380019e-08,7.99049606852852e-07,"linear_regression",0.0232427086066912,0.17170066571206
"TGFBR2_Expr",4.5632750343672e-08,4.73211621063878e-07,"linear_regression",-0.0366601732982281,0.177999725840983
"WRN_Expr",2.33623521282527e-08,2.55018517442084e-07,"linear_regression",0.0433702945480278,0.184970389446
"PRKCB_Expr",2.56316694797422e-07,2.2336169118061e-06,"linear_regression",-0.0414481707111225,0.159798253785927
"B2M_Expr",7.85179702346873e-09,1.01778918916713e-07,"linear_regression",-0.057585410744967,0.196213584344195
"HOOK3_Expr",1.79796962713958e-08,2.09493764420645e-07,"linear_regression",-0.0495130529823412,0.187683147624219
"MAP2K1_Expr",5.35746531081556e-13,1.63402691979874e-11,"linear_regression",-0.0413232806230139,0.289228814026793
"MALT1_Expr",9.30141416114171e-09,1.19081067717333e-07,"linear_regression",-0.0314697974310197,0.194475563503797
"MYD88_Expr",1.95196259871956e-12,5.06046303718045e-11,"linear_regression",-0.0464480895021489,0.277304441490568
"RNF213_Expr",4.34932748253283e-07,3.57956555506869e-06,"linear_regression",-0.0362195337116932,0.154155246394413
"CIITA_Expr",4.27268393096044e-09,5.98753140054862e-08,"linear_regression",-0.015006765910117,0.202428587768797
"POLR2A_Expr",1.85389863673787e-08,2.13610320699686e-07,"linear_regression",0.0538343171576529,0.187366237668436
"CREB3L2_Expr",2.0281207033063e-07,1.79757364899884e-06,"linear_regression",0.0427650375630479,0.162287075956409
"EXT1_Expr",2.62847261322537e-09,3.86788018115411e-08,"linear_regression",-0.0175230334880316,0.207360125302944
