"feature","p_value","q_value","method","beta","r_squared"
"Monocyte-like",1.81276095237918e-53,1.86170549809342e-50,"linear_regression",-0.544939334496047,0.799263597351843
"cDC-like",1.01269355184928e-30,1.15559586416579e-28,"linear_regression",-0.693891517204111,0.59340437592896
"M1",1.33408722301929e-32,2.28351263006802e-30,"linear_regression",-0.712486434647519,0.61641417615778
"M11",1.18887554319758e-26,1.10997743896719e-24,"linear_regression",1.16817200276309,0.53880840636221
"M14",1.03624057058491e-21,5.60115297889841e-20,"linear_regression",-0.478605854523868,0.462711799334206
"M4",2.74607899572604e-09,1.81571389948901e-08,"linear_regression",0.529757459662935,0.213124108601807
"M6",3.27288274720663e-49,1.6806252906906e-46,"linear_regression",-0.67573869857338,0.770890369784006
"M7",2.00960995618844e-10,1.57496052851016e-09,"linear_regression",0.453742204867745,0.239868564656087
"HOXA11_Expr",6.19678219695352e-07,2.69665055774206e-06,"linear_regression",0.0141814157981694,0.155039883254013
"GAS7_Expr",1.36680861197538e-07,6.74861752162842e-07,"linear_regression",-0.0511889185285982,0.171596614959828
"WAS_Expr",1.43746453951374e-10,1.1624221118745e-09,"linear_regression",-0.136031925189163,0.243234857096793
"CD74_Expr",2.24092181893063e-13,2.91319836460981e-12,"linear_regression",-0.0514447707634095,0.30551143843752
"FAS_Expr",4.35606440603522e-13,5.32580731547402e-12,"linear_regression",-0.0813547923807375,0.299337993714589
"BCLAF1_Expr",5.65489803095193e-07,2.49252372437238e-06,"linear_regression",0.0973389716985318,0.156049807869844
"ARID1B_Expr",1.04837385540657e-20,4.6812171717502e-19,"linear_regression",0.148921324001598,0.445779188062467
"HERPUD1_Expr",1.90842119269460e-09,1.31540172140762e-08,"linear_regression",-0.0598888982350329,0.216896437040606
"SMARCD1_Expr",4.54735576721203e-12,4.76544323768036e-11,"linear_regression",0.144675794998142,0.277133908044421
"FGFR3_Expr",9.67247093210243e-11,8.10626627680527e-10,"linear_regression",0.0397563327585758,0.247197489521134
"CLTCL1_Expr",9.16342081501481e-07,3.92118049042509e-06,"linear_regression",-0.0233298799176093,0.150711683615046
"FSTL3_Expr",2.32085217564652e-10,1.79211667999171e-09,"linear_regression",-0.0587343842910877,0.238417652567351
"TCF3_Expr",8.83807154165339e-18,2.6696174921406e-16,"linear_regression",0.121414625113566,0.393450868250359
"PRKACA_Expr",1.74654806831389e-22,9.96502703421315e-21,"linear_regression",-0.133979969166646,0.475392214777462
"TFRC_Expr",3.96856891801173e-07,1.78759661350792e-06,"linear_regression",0.0514863999274221,0.159948854446577
"FCGR2B_Expr",7.56870640818184e-14,1.0947973917187e-12,"linear_regression",-0.0337827588729812,0.315481466901033
"SMARCE1_Expr",2.63051011753147e-07,1.21145017520395e-06,"linear_regression",0.146239855297318,0.164458363430245
"PICALM_Expr",1.53451362925765e-11,1.50090047356915e-10,"linear_regression",-0.135780145053186,0.265360566152638
"ARHGEF10L_Expr",4.98140367109328e-30,5.1159015702128e-28,"linear_regression",-0.0340715436404281,0.584597182797951
"N4BP2_Expr",1.62683987328008e-15,3.34152909971729e-14,"linear_regression",0.117960374281837,0.349661451774241
