"feature","p_value","q_value","method","beta","r_squared"
"Monocyte-like",2.52648258523487e-29,2.9054549730201e-27,"linear_regression",-0.341003787306411,0.568117085933638
"cDC-like",7.01425962143628e-34,1.81493967704664e-31,"linear_regression",-0.523308819665245,0.623921708749503
"M1",2.61808952021537e-33,4.51620442237152e-31,"linear_regression",-0.528093988532798,0.617329889418751
"M11",5.63558455352206e-11,8.33261430413619e-10,"linear_regression",0.57161953442232,0.248220335413858
"M16",4.04692559366915e-10,5.10800974322875e-09,"linear_regression",-0.438518244197752,0.228728429857955
"M4",3.91424147308309e-09,4.01112863825841e-08,"linear_regression",0.389979282205579,0.205722511204967
"M6",6.75076407727257e-22,5.82253401664759e-20,"linear_regression",-0.385197639164594,0.459075031512685
"GAS7_Expr",1.02319066456834e-12,2.20625487047549e-11,"linear_regression",-0.0509111893805462,0.286449725144856
"WAS_Expr",7.88480143706356e-08,6.37560116200062e-07,"linear_regression",-0.0831731431548898,0.174344699164672
"CD74_Expr",3.93778788232327e-13,9.70383442429662e-12,"linear_regression",-0.0369285486800588,0.295281784928651
"FAS_Expr",1.91918853094421e-13,5.51766702646461e-12,"linear_regression",-0.0585130294309581,0.301860750687622
"ARID1B_Expr",2.14892244552133e-14,7.4137824370486e-13,"linear_regression",0.0902307579580797,0.321543606831055
"HERPUD1_Expr",1.10982987693305e-12,2.29734784525142e-11,"linear_regression",-0.0511973279683412,0.285693107149794
"SMARCD1_Expr",1.06392177998779e-07,8.34211395672243e-07,"linear_regression",0.0826008895511311,0.171156328389149
"TCF3_Expr",6.82118016547207e-10,8.2092110130972e-09,"linear_regression",0.0680337435122891,0.223489610297622
"PRKACA_Expr",2.27898630524754e-17,1.12321467901486e-15,"linear_regression",-0.089638419506891,0.379722164303136
"FCGR2B_Expr",5.78232238575892e-21,4.27478833518606e-19,"linear_regression",-0.0293909557966045,0.443589411858726
"PICALM_Expr",1.75550104372121e-13,5.19126737214699e-12,"linear_regression",-0.105025988459459,0.302672701642538
"ARHGEF10L_Expr",1.04337716793411e-32,1.54270766973114e-30,"linear_regression",-0.0254920238928019,0.610286636149435
"PCM1_Expr",4.80062074649648e-08,4.00696973598698e-07,"linear_regression",0.0999247439865486,0.179602221040325
"CD209_Expr",8.55733264864951e-13,1.88443389177707e-11,"linear_regression",-0.0200071998135602,0.288110725887816
"MSH2_Expr",5.05745850370477e-09,5.03314379936004e-08,"linear_regression",0.0511681050999427,0.203086378114509
"HSP90AB1_Expr",1.82623570586408e-10,2.52020527409243e-09,"linear_regression",0.08733206704791,0.236650900702723
"JAK2_Expr",1.50172331833179e-13,4.57142245433355e-12,"linear_regression",-0.0865122551767785,0.304092646090042
"ABL1_Expr",2.98339910524035e-10,3.8597725924047e-09,"linear_regression",0.0853808752111802,0.231772993187111
