"feature","p_value","q_value","method","beta","r_squared"
"Progenitor-like",1.44671432532062e-08,2.07692686703563e-07,"linear_regression",-0.580733161008717,0.173565415355918
"Monocyte-like",8.41546449285151e-08,8.99939468215141e-07,"linear_regression",0.154353527737273,0.156643959555195
"M0",2.63367190296264e-12,1.84005876953656e-10,"linear_regression",1.52433315201074,0.252070903355625
"M11",2.09411231880391e-19,2.1946297101065e-16,"linear_regression",-0.591503083195203,0.382164022400432
"M14",6.6575378109784e-17,1.74427490647634e-14,"linear_regression",0.2531298144094,0.339020380016678
"M6",1.86221763844316e-11,7.80641634035373e-10,"linear_regression",0.238472066485206,0.234862228788935
"M7",5.66827103305192e-12,3.267198695337e-10,"linear_regression",-0.286909828053096,0.245370611151798
"M9",1.70315271165217e-11,7.76045235570206e-10,"linear_regression",0.350595565002683,0.235655726308583
"HOXA11_Expr",5.12862175364289e-08,6.03909617732331e-07,"linear_regression",-0.00913765897577887,0.161432418954467
"CREBBP_Expr",7.90021379214033e-09,1.21756236090633e-07,"linear_regression",0.0910849690206524,0.179312390063395
"ETV1_Expr",2.26819783142594e-08,2.97133915916798e-07,"linear_regression",0.0170593479323657,0.169271315167644
"ARID1B_Expr",8.41204295826083e-09,1.27765522032715e-07,"linear_regression",-0.0583402817821813,0.178717686888826
"FSTL3_Expr",2.74977337391749e-11,1.09595717720227e-09,"linear_regression",0.0344794887340649,0.231389568265757
"TCF3_Expr",3.1110465930086e-08,3.88140098746787e-07,"linear_regression",-0.0502224372408377,0.166242732227193
"IGF2BP2_Expr",7.97586011555162e-08,8.91877366592023e-07,"linear_regression",-0.0276697606698236,0.157163812422994
"GNAS_Expr",1.39790757253982e-07,1.46500713602173e-06,"linear_regression",-0.0715833391800642,0.151713625382969
"HSP90AB1_Expr",3.85727993978345e-09,6.62693340474271e-08,"linear_regression",-0.0630301011357987,0.186077761301963
"LZTR1_Expr",1.49385234701518e-09,3.13111451934382e-08,"linear_regression",-0.0730899202145142,0.194954077965979
"SFRP4_Expr",3.50254096773826e-08,4.26821271417407e-07,"linear_regression",-0.016823988784114,0.165104229307918
"YWHAE_Expr",4.72615227589235e-10,1.30342304871978e-08,"linear_regression",-0.0625144273674843,0.205607041468187
"DROSHA_Expr",8.36681698399237e-08,8.99939468215141e-07,"linear_regression",-0.0603996429821558,0.156700146792778
"BCL6_Expr",1.25475206141938e-08,1.85208473291199e-07,"linear_regression",0.0199233122840962,0.174920816523672
