"feature","p_value","q_value","method","beta","r_squared"
"Monocyte-like",1.00390189277418e-28,1.17456521454579e-26,"linear_regression",-0.345696610740348,0.509616552323743
"cDC-like",6.00001688915731e-39,1.26360355685653e-36,"linear_regression",-0.574935405661832,0.62543695766181
"M1",1.33114660396481e-40,3.50424343493736e-38,"linear_regression",-0.580586990076556,0.641428163873227
"M11",2.15092159570604e-10,2.63362841892844e-09,"linear_regression",0.565375005136947,0.207374215554034
"M16",6.25241873358862e-12,1.11589778414726e-10,"linear_regression",-0.48306297426875,0.238380706616059
"M23",2.20213966782541e-08,2.08905682001816e-07,"linear_regression",-0.453335745496571,0.165096219903932
"M6",9.98588720588884e-23,8.08856863676996e-21,"linear_regression",-0.3990301010418,0.425834425299511
"GAS7_Expr",1.52394292461215e-12,3.27492224411551e-11,"linear_regression",-0.0491819336304255,0.250435696883918
"WAS_Expr",7.01256830845765e-11,9.3471321883619e-10,"linear_regression",-0.0969340430800156,0.217319303133927
"CD74_Expr",4.2956694087006e-16,1.67531106939324e-14,"linear_regression",-0.0423369897824315,0.31676626790168
"FAS_Expr",3.88411812168238e-13,1.02249409553289e-11,"linear_regression",-0.060317129025076,0.261938574861312
"ARID1B_Expr",3.15556280660231e-13,8.52001957782623e-12,"linear_regression",0.088892818988357,0.263671945791408
"SMARCD1_Expr",1.53742380562696e-10,1.95894670460026e-09,"linear_regression",0.0992699169028565,0.21036577889873
"TCF3_Expr",2.32479541733441e-09,2.42377185589419e-08,"linear_regression",0.0648600458687027,0.185874124841393
"PRKACA_Expr",3.40406781908483e-24,2.98706951124694e-22,"linear_regression",-0.102559122107244,0.447551692937292
"TFRC_Expr",1.85970288697066e-09,1.97804761614152e-08,"linear_regression",0.0460411035671908,0.187912124333836
"FCGR2B_Expr",4.06397287387661e-27,4.27936343619207e-25,"linear_regression",-0.033839399414063,0.488428422789675
"PICALM_Expr",6.59200129684706e-16,2.39357840192412e-14,"linear_regression",-0.116743249031299,0.313435116035875
"ARHGEF10L_Expr",2.31437855917052e-36,4.06173437134427e-34,"linear_regression",-0.0275831620710646,0.598998068953204
"N4BP2_Expr",5.50645784246539e-08,4.79198356042649e-07,"linear_regression",0.0644727029285492,0.156497746451057
"PTPRC_Expr",7.88178825061682e-12,1.3605775455573e-10,"linear_regression",-0.0718245578172253,0.236385896908776
"CD209_Expr",6.7470560337999e-14,1.97351388988647e-12,"linear_regression",-0.0223268523372108,0.276424432549284
"JAK2_Expr",1.05235435410603e-18,6.92580709296033e-17,"linear_regression",-0.104372831402929,0.361911000237567
"ABL1_Expr",1.8755196196989e-12,3.92086190071256e-11,"linear_regression",0.0952096086673222,0.248674272065497
"SMARCB1_Expr",5.99210180209709e-11,8.30221473369504e-10,"linear_regression",0.102066718357527,0.218705609250026
"PATZ1_Expr",2.11879107734797e-12,4.29055193162964e-11,"linear_regression",0.0881405323138389,0.247637595354083
"CCNB1IP1_Expr",1.89899294336506e-12,3.92086190071256e-11,"linear_regression",0.0665364716551409,0.248568608856313
"SALL4_Expr",2.70291354114686e-11,4.06595422689663e-10,"linear_regression",0.0206203157283756,0.225689074326445
"PTK6_Expr",1.50999194468641e-09,1.65627241432791e-08,"linear_regression",-0.02636875423784,0.189809993467537
"AKT2_Expr",1.48668248874906e-14,4.74386866864474e-13,"linear_regression",0.190427049639737,0.28872435789895
"CDK6_Expr",5.48198483287909e-11,7.69670670536225e-10,"linear_regression",0.0399274772669288,0.219488952848305
"CPEB3_Expr",1.24446293107504e-09,1.37938891202318e-08,"linear_regression",-0.0616350541634169,0.191568486638877
"PRPF40B_Expr",3.35084625265957e-08,3.06820965569611e-07,"linear_regression",0.047537788663114,0.161167001536086
"BCL7A_Expr",1.39473780596661e-13,3.96934840454821e-12,"linear_regression",0.0420276332242071,0.270447605723793
"QKI_Expr",7.29466010707922e-08,6.1945783006084e-07,"linear_regression",-0.0829959464313278,0.153844606589558
"TFEB_Expr",1.37344882817478e-17,7.61179797930551e-16,"linear_regression",-0.050392870591255,0.342985602760334
"LIFR_Expr",7.8076488216204e-08,6.52496365806848e-07,"linear_regression",0.0146611034841411,0.153202404679465
"BCL6_Expr",5.19872708189142e-13,1.27308363191434e-11,"linear_regression",-0.0301376094120048,0.259499547963546
"RPL22_Expr",1.60851803094597e-10,2.01639224593584e-09,"linear_regression",0.0717556926110668,0.209963640354686
"MYCL_Expr",5.14466937911914e-33,6.77167107026557e-31,"linear_regression",-0.0333986099928496,0.562013398215826
"MYB_Expr",6.95252848496389e-11,9.3471321883619e-10,"linear_regression",0.0454819910678339,0.217395160342627
"SGK1_Expr",6.94794638298783e-11,9.3471321883619e-10,"linear_regression",-0.0265380793537703,0.217400976191842
"DNMT3A_Expr",9.89936800811641e-08,8.14377696292701e-07,"linear_regression",0.0565327867304772,0.150956262635012
"CDKN1A_Expr",4.94033134073992e-08,4.40861771338909e-07,"linear_regression",-0.0244882273179568,0.157519430102363
"SPECC1_Expr",2.23659761245764e-08,2.10280114814098e-07,"linear_regression",-0.0537732597346193,0.164951168965248
"SMO_Expr",3.90750008008154e-10,4.52153580695149e-09,"linear_regression",0.0267145007726383,0.202030165657174
"CLIP1_Expr",7.25366303496998e-12,1.27301786263723e-10,"linear_regression",-0.0956329933108613,0.237101804796546
"RARA_Expr",1.08193483351489e-14,3.56024181153495e-13,"linear_regression",-0.0662552246051252,0.291283169512476
"NOTCH2_Expr",5.43973002350955e-16,2.04572704098413e-14,"linear_regression",-0.0748972638959508,0.314931515654169
"TMEM127_Expr",4.3970817043364e-09,4.49526896569537e-08,"linear_regression",-0.0798908932681082,0.180030623174604
"USP44_Expr",1.63838884605913e-09,1.77858088134048e-08,"linear_regression",0.0166865289554481,0.189066946924211
"LCP1_Expr",1.96345808883476e-11,3.13260813264092e-10,"linear_regression",-0.07875955780775,0.228476606758214
"KLF4_Expr",1.90623269956926e-16,7.7202424332555e-15,"linear_regression",-0.0257299185526289,0.323043397517767
"XPA_Expr",5.90440031191298e-08,5.09617502331506e-07,"linear_regression",-0.0479770219363939,0.155840093596391
"IRF4_Expr",1.58553459027817e-08,1.53171369134212e-07,"linear_regression",-0.0253442525275172,0.168160218277222
"COL2A1_Expr",5.29926864197687e-12,9.62091358620974e-11,"linear_regression",0.0233496737760911,0.239802437272945
"ZFHX3_Expr",2.01050925984553e-17,1.05853312530867e-15,"linear_regression",-0.0353959518303411,0.340132225755804
"PRCC_Expr",1.88812132557079e-09,1.98819175582604e-08,"linear_regression",0.16424561897768,0.187773802116978
"ARHGAP26_Expr",6.10772914090818e-22,4.59388484669736e-20,"linear_regression",-0.0660408174517622,0.413851154846589
"NONO_Expr",2.68289623634405e-10,3.21032924644351e-09,"linear_regression",0.121175971314209,0.205399710039451
"JAZF1_Expr",9.35271580683467e-17,4.28191728025952e-15,"linear_regression",-0.0363077292947637,0.328498812507534
"MSI2_Expr",4.70706291455338e-09,4.7659012009853e-08,"linear_regression",0.0298290841850217,0.179403837148774
"KAT6B_Expr",2.08157578300663e-11,3.22338132280292e-10,"linear_regression",0.088040772808068,0.227967817767643
"FGFR4_Expr",1.9940357830264e-10,2.47025844650211e-09,"linear_regression",0.043006269050172,0.20804984706708
"DDR2_Expr",6.7495610813531e-09,6.76884554158554e-08,"linear_regression",0.033829916715088,0.176080811824189
"TGFBR2_Expr",5.40463034266001e-08,4.74256312568416e-07,"linear_regression",-0.0567974242684696,0.156673599737108
"SYK_Expr",6.10984626606628e-10,6.9179227077073e-09,"linear_regression",-0.068120926109152,0.198007611107518
"WRN_Expr",4.2284945337724e-13,1.08600115708837e-11,"linear_regression",0.0879652659530485,0.261228610671199
"PRKCB_Expr",4.38873858747386e-11,6.24505639541888e-10,"linear_regression",-0.0851418510227054,0.221444057861318
"B2M_Expr",2.42084182585837e-12,4.80971026911106e-11,"linear_regression",-0.110580959311944,0.246503254233254
"HOOK3_Expr",4.70665507403602e-13,1.18002566499046e-11,"linear_regression",-0.0962044757773543,0.260332349034575
"MAP2K1_Expr",6.34318708452923e-13,1.48430577777984e-11,"linear_regression",-0.065507702389291,0.257830498860551
"GPHN_Expr",7.07313876670262e-10,7.92342034184878e-09,"linear_regression",0.0313262624001106,0.196686198830694
"MALT1_Expr",2.71263497112747e-08,2.52779170318338e-07,"linear_regression",-0.0482971631496564,0.163146664835549
"MYD88_Expr",1.25329151272726e-18,7.76303507589294e-17,"linear_regression",-0.0907104504112658,0.360640615278937
"RNF213_Expr",2.72353091118065e-10,3.22233488704857e-09,"linear_regression",-0.0718008951340717,0.205265244493837
"CIITA_Expr",4.37689046327735e-10,5.00963658459897e-09,"linear_regression",-0.0256339624489104,0.201011039656195
"POLR2A_Expr",1.4217926913699e-08,1.38624787408565e-07,"linear_regression",0.0876841697032573,0.169174775354416
"EXT1_Expr",9.26114028383209e-12,1.57290011594761e-10,"linear_regression",-0.0327601359012431,0.234993884602239
"CSF1R_Expr",3.18333766288344e-19,2.23470303934417e-17,"linear_regression",-0.0356495642334828,0.370537899953816
