"feature","p_value","q_value","method","beta","r_squared"
"Progenitor-like",5.82392304201453e-12,3.51099360532876e-11,"linear_regression",-1.5071842093917,0.243879547813678
"Monocyte-like",2.46246928496463e-78,2.59790509563769e-75,"linear_regression",0.773740365475543,0.873846724053306
"cDC-like",3.01077689883504e-37,2.26883544876498e-35,"linear_regression",0.966865405571835,0.61682005299863
"M0",8.15795904845918e-10,3.75836104634255e-09,"linear_regression",2.94722632973707,0.199513408497457
"M1",2.25460706470117e-51,5.94652613314934e-49,"linear_regression",1.05467014514941,0.738380042330917
"M11",1.83053574398769e-35,1.20700950619188e-33,"linear_regression",-1.64422152773104,0.5979206005924
"M14",3.93626058671375e-22,6.6979918048113e-21,"linear_regression",0.629463758709165,0.424152572283292
"M16",3.79057696255227e-11,2.029979033245e-10,"linear_regression",0.799959444466885,0.227336951863545
"M21",6.4506596142362e-12,3.86673062103363e-11,"linear_regression",-0.984655442175544,0.242985439864246
"M4",1.52106957184698e-19,1.95698585158362e-18,"linear_regression",-0.963963030406505,0.38271159093796
"M6",7.21028690873306e-73,3.80342634435669e-70,"linear_regression",0.972020662901919,0.853730909599877
"M7",3.7305440227522e-09,1.57428957760143e-08,"linear_regression",-0.543141680927602,0.185401198501832
"GAS7_Expr",2.01888103556849e-16,1.83613749355582e-15,"linear_regression",0.0957795469803049,0.328798280791849
"WAS_Expr",4.57277274015969e-14,3.350191139492e-13,"linear_regression",0.196796925721701,0.285159775946191
"CD74_Expr",1.28610486586753e-10,6.46114587376308e-10,"linear_regression",0.0589292082768266,0.216368533021424
"FAS_Expr",1.26039004668342e-18,1.42599088871001e-17,"linear_regression",0.121629971133782,0.367310702035058
"TPR_Expr",3.12128531387498e-09,1.33318056928668e-08,"linear_regression",-0.220096192732896,0.187067830175543
"GOPC_Expr",3.20023498538497e-09,1.36139028612143e-08,"linear_regression",-0.13392128495101,0.186834532041302
"ARID1B_Expr",5.94234590376314e-29,1.89974997832428e-27,"linear_regression",-0.213186850818477,0.520740841831414
"HERPUD1_Expr",3.6615792776765e-25,7.57444340774256e-24,"linear_regression",0.123989630643753,0.469243509002844
"SMARCD1_Expr",1.17262228635428e-10,5.94767553896043e-10,"linear_regression",-0.167673634240716,0.217202842936332
"RHOA_Expr",5.08457217184564e-13,3.31124916129453e-12,"linear_regression",0.258743770142394,0.264919211360634
"FGFR3_Expr",3.22129009090341e-13,2.13739688421578e-12,"linear_regression",-0.0553520142157012,0.268795881712472
"TFE3_Expr",2.83040964630316e-14,2.14826055888477e-13,"linear_regression",0.197362448413753,0.289127036700339
"BCL3_Expr",2.89837451436219e-09,1.24300207831387e-08,"linear_regression",0.0649746404794917,0.187759502401767
"FSTL3_Expr",2.67416340282494e-13,1.82015638063246e-12,"linear_regression",0.0829190671506189,0.270371350707508
"TCF3_Expr",5.81505439528505e-28,1.57304676590403e-26,"linear_regression",-0.185487247967257,0.507777449484292
"PRKACA_Expr",3.52647819769031e-48,5.31490642651897e-46,"linear_regression",0.225590958273262,0.714787289266846
