"Feature","Venetoclax","Elesclomol","Selumetinib (AZD6244)","Trametinib (GSK1120212)","Rapamycin","Motesanib (AMG-706)","Sorafenib","Panobinostat","Dasatinib","MK-2206"
"AUC__KRAS_signaling_up",6.406190549063,-1.94868448617446,-2.63725851085828,-2.04890315605828,-2.71051873391782,-1.14917942648224,1.26958962934312,-4.45721954827762,-2.01312101293687,-1.55111907276071
"BCL6_Expr",0.0866109222588457,-0.0194878051458979,-0.0432195755692085,-0.0301376094120048,-0.035220440995741,-0.0203684081963475,0.0199233122840962,-0.0559517216313988,-0.0292109006853344,-0.0238700585837911
"Hypoxia/Adenosine_Immune_Cell_Suppression",0.892511631479384,-0.209262742695488,-0.474052581286269,-0.311313392850793,-0.375192823165436,-0.215719320748264,0.23946834319745,-0.588513189054758,-0.306911226975543,-0.279004777931383
"KRAS_signaling_up",4.37454490086074,-1.33606515323218,-2.21060316170717,-1.6971675974707,-1.79220426119556,-1.07364613283377,0.967067274340046,-2.89032942994196,-1.61737431573656,-1.23882587758541
"M6",0.972020662901919,-0.217786583201104,-0.550878530185885,-0.3990301010418,-0.385197639164594,-0.237627991603778,0.238472066485206,-0.67573869857338,-0.327915300739317,-0.295905911757915
"Monocyte-like",0.773740365475543,-0.191724679479506,-0.453064856622409,-0.345696610740348,-0.341003787306411,-0.20425954251569,0.154353527737273,-0.544939334496047,-0.306147705304047,-0.239601853694739
"Phopholipase",3.44017836305048,-0.814593811274782,-1.85149170065233,-1.30102376867229,-1.29934967471768,-0.813997370382205,1.0651309009693,-2.35613200008005,-1.00610280265061,-1.05420675835521
"AKT2_Expr",-0.317418726535149,0.0894104135692491,0.232383708180246,0.190427049639737,0.152121175595352,0.111518861463921,NA,0.260798558747104,0.155615983799678,0.117659635781593
"Apoptosis",5.50631827676292,-1.47957126930341,-2.82208214657006,-2.37254058476297,-2.61720663911235,-1.49481309794336,NA,-3.40092079896643,-2.43863493832865,-1.70886500190101
"ARID1B_Expr",-0.213186850818477,NA,0.127158073413341,0.088892818988357,0.0902307579580797,0.0558593891740651,-0.0583402817821813,0.148921324001598,0.0684367659142541,0.0718347947564358
"AUC__Immunogenic_Cell_Death_(ICD)",2.36671754543292,-0.626129904624026,-0.984985893036191,-0.776843950155577,-1.15286006520296,-0.466589425099975,NA,-1.53697419208076,-0.704552679259559,-0.682929961972859
"AUC__Phopholipase",2.99503799693859,-1.08990480454102,-1.77307736194281,-1.44700245180614,-1.27421405234848,-0.855209949874281,NA,-3.21453762877303,-1.3100147551319,-1.08717899624783
"AUC__Telomere_Extension_by_Telomerase",-10.4702411050695,1.86656527768024,3.32836915308398,2.10036486727084,2.52711259405802,1.4045091462236,-2.24827757438796,6.2683884938187,NA,1.90914986213455
"B2M_Expr",0.218329786237592,-0.0594286937409085,-0.126505784684501,-0.110580959311944,-0.112188580636553,-0.057585410744967,NA,-0.153110912408288,-0.109892090319274,-0.0648980113864739
"CD300E_Expr",0.0436863369879021,-0.0105763817439811,-0.0293323666953681,-0.025656226690439,-0.0242375715970999,-0.0142728317929717,NA,-0.0300074132166342,-0.0233988102096468,-0.0154690984666446
"FAS_Expr",0.121629971133782,-0.0323999577879831,-0.0693870468916133,-0.060317129025076,-0.0585130294309581,-0.0372974093104604,NA,-0.0813547923807375,-0.0563181142470451,-0.0412874732815848
"HMGB1_Signaling",6.30527353353207,-1.28853014310327,-3.07267925514315,-2.26101407151797,-2.56564814533769,-1.43746687042655,NA,-3.82734157033387,-2.14641913030686,-1.83191471358906
"Immunogenic_Cell_Death_(ICD)",2.10281759195331,-0.458012058750025,-1.26852083487644,-1.05383707718229,-0.999683882348562,-0.609344411306129,NA,-1.42461622182154,-0.945795253694903,-0.68853086528916
"MAFB_Expr",0.054793032518814,-0.0105275243654208,-0.0335016234862672,-0.0264527223801201,-0.0272890940170148,-0.0149201254671306,NA,-0.0373426369589726,-0.024114247296118,-0.0179320709149384
"MAML2_Expr",0.0791478980853087,-0.024929358433593,-0.0475782218988531,-0.0390737827012529,-0.0348616667852305,-0.0236476274332289,NA,-0.0500196840610936,-0.034696234331318,-0.0248595794294228
