"CommonFeature","Drugs"
"AUC__KRAS_signaling_up",10
"BCL6_Expr",10
"Hypoxia/Adenosine_Immune_Cell_Suppression",10
"KRAS_signaling_up",10
"M6",10
"Monocyte-like",10
"Phopholipase",10
"AKT2_Expr",9
"Apoptosis",9
"ARID1B_Expr",9
"AUC__Immunogenic_Cell_Death_(ICD)",9
"AUC__Phopholipase",9
"AUC__Telomere_Extension_by_Telomerase",9
"B2M_Expr",9
"CD300E_Expr",9
"FAS_Expr",9
"HMGB1_Signaling",9
"Immunogenic_Cell_Death_(ICD)",9
"MAFB_Expr",9
"MAML2_Expr",9
"p38_MAPK_Signaling",9
"PRPF40B_Expr",9
"SGK1_Expr",9
"SRGAP3_Expr",9
"VCAN_Expr",9
"AC104809.4_Expr",8
"AMER1_Expr",8
"Angiogenesis",8
"ARHGAP26_Expr",8
"ARHGEF10L_Expr",8
"BCR_Expr",8
"CD209_Expr",8
"CD74_Expr",8
"cDC-like",8
"CDK6_Expr",8
"CES1_Expr",8
"CLIP1_Expr",8
"COL2A1_Expr",8
"CSF1R_Expr",8
"ErbB_Signaling",8
"ErbB2_ErbB3_Signaling",8
"ERK5_Signaling",8
"FCGR2B_Expr",8
"FN1_Expr",8
"FOXO1_Expr",8
"GAS7_Expr",8
"HER_2_Signaling_in_Breast_Cancer",8
"JAK2_Expr",8
"JAZF1_Expr",8
"KLF4_Expr",8
"LCP1_Expr",8
"LGALS2_Expr",8
"LYN_Expr",8
"M1",8
"M11",8
"MALT1_Expr",8
"MAP2K1_Expr",8
"MSI2_Expr",8
"mTOR_Signaling",8
"MYB_Expr",8
"MYCL_Expr",8
"MYD88_Expr",8
"NONO_Expr",8
"NOTCH2_Expr",8
"p53_pathway",8
"PATZ1_Expr",8
"PI3K_Akt_mTOR_signaling",8
"PI3K_AKT_Signaling",8
"PICALM_Expr",8
"POLR2A_Expr",8
"PRKACA_Expr",8
"PRLR_Expr",8
"RARA_Expr",8
"SHC1/pSTAT3_Signature",8
"SIRPA_Expr",8
"SMARCB1_Expr",8
"SMO_Expr",8
"TCF3_Expr",8
"TFEB_Expr",8
"TNFR1_Signaling",8
"UVA_Induced_MAPK_Signaling",8
"VEGF_Signaling",8
"ZFHX3_Expr",8
"ABL1_Expr",7
"AUC__Angiogenesis",7
"AUC__Apoptosis",7
"AUC__DNA_repair",7
"AUC__Hypoxia/Adenosine_Immune_Cell_Suppression",7
"AUC__Myc_targets",7
"BCL7A_Expr",7
"CCNB1IP1_Expr",7
"CPEB3_Expr",7
"DNMT3A_Expr",7
"ERK_MAPK_Signaling",7
"EXT1_Expr",7
"FGFR4_Expr",7
"HERPUD1_Expr",7
"HSP90AB1_Expr",7
"IL6ST_Expr",7
"IRF4_Expr",7
"IRX5_Expr",7
"KAT6B_Expr",7
"MDFI_Expr",7
"Notch_signaling",7
"NPM1_Mut",7
"RPL22_Expr",7
"SMARCD1_Expr",7
"TGFBR2_Expr",7
"TMEM127_Expr",7
"USP44_Expr",7
"USP8_Expr",7
"UVC_Induced_MAPK_Signaling",7
"WAS_Expr",7
"WRN_Expr",7
"CDKN1A_Expr",6
"CHD4_Expr",6
"ERBB2_Expr",6
"HOOK3_Expr",6
"Hypoxia",6
"IRX3_Expr",6
"M14",6
"M16",6
"M7",6
"N4BP2_Expr",6
"PIEZO2_Expr",6
"PRCC_Expr",6
