"CommonFeature","Drugs"
"AUC__KRAS_signaling_up",10
"BCL6_Expr",10
"KRAS_signaling_up",10
"M6",10
"Monocyte-like",10
"Phopholipase",10
"Apoptosis",9
"ARID1B_Expr",9
"AUC__Immunogenic_Cell_Death_(ICD)",9
"AUC__Phopholipase",9
"CD300E_Expr",9
"FAS_Expr",9
"HMGB1_Signaling",9
"Hypoxia/Adenosine_Immune_Cell_Suppression",9
"Immunogenic_Cell_Death_(ICD)",9
"MAFB_Expr",9
"p38_MAPK_Signaling",9
"SGK1_Expr",9
"VCAN_Expr",9
"AKT2_Expr",8
"AMER1_Expr",8
"ARHGAP26_Expr",8
"ARHGEF10L_Expr",8
"cDC-like",8
"CDK6_Expr",8
"CLIP1_Expr",8
"ErbB_Signaling",8
"ErbB2_ErbB3_Signaling",8
"ERK5_Signaling",8
"FCGR2B_Expr",8
"FN1_Expr",8
"JAK2_Expr",8
"JAZF1_Expr",8
"KLF4_Expr",8
"LGALS2_Expr",8
"LYN_Expr",8
"M1",8
"M11",8
"MAP2K1_Expr",8
"MYCL_Expr",8
"NOTCH2_Expr",8
"PATZ1_Expr",8
"PI3K_Akt_mTOR_signaling",8
"PI3K_AKT_Signaling",8
"PRKACA_Expr",8
"PRLR_Expr",8
"RARA_Expr",8
"SIRPA_Expr",8
"SMARCB1_Expr",8
"TFEB_Expr",8
"UVA_Induced_MAPK_Signaling",8
"VEGF_Signaling",8
"AUC__Telomere_Extension_by_Telomerase",7
"B2M_Expr",7
"BCL7A_Expr",7
"CD209_Expr",7
"CD74_Expr",7
"COL2A1_Expr",7
"EXT1_Expr",7
"LCP1_Expr",7
"mTOR_Signaling",7
"MYD88_Expr",7
"NONO_Expr",7
"Notch_signaling",7
"PICALM_Expr",7
"SRGAP3_Expr",7
"ABL1_Expr",6
"AC104809.4_Expr",6
"Angiogenesis",6
"BCR_Expr",6
"CES1_Expr",6
"CSF1R_Expr",6
"FOXO1_Expr",6
"HSP90AB1_Expr",6
"MAML2_Expr",6
"MSI2_Expr",6
"MYB_Expr",6
"p53_pathway",6
"POLR2A_Expr",6
"SHC1/pSTAT3_Signature",6
"TCF3_Expr",6
"ZFHX3_Expr",6
"AUC__DNA_repair",5
"AUC__Hypoxia/Adenosine_Immune_Cell_Suppression",5
"CCNB1IP1_Expr",5
"CHD4_Expr",5
"CPEB3_Expr",5
"ERK_MAPK_Signaling",5
"GAS7_Expr",5
"HER_2_Signaling_in_Breast_Cancer",5
"IRX5_Expr",5
"M16",5
"PRPF40B_Expr",5
"PTEN_Signaling",5
"TMEM127_Expr",5
"TNFR1_Signaling",5
"AUC__Angiogenesis",4
"AUC__Apoptosis",4
"AUC__Myc_targets",4
"FGFR4_Expr",4
"HOOK3_Expr",4
"M14",4
"SMARCD1_Expr",4
"UVC_Induced_MAPK_Signaling",4
"AUC__VEGF_Signaling",3
"CEACAM6_Expr",3
"CEACAM8_Expr",3
"DNMT3A_Expr",3
"EML4_Expr",3
"ERBB2_Expr",3
"HERPUD1_Expr",3
"IRF4_Expr",3
"KAT6B_Expr",3
"MALT1_Expr",3
"MDFI_Expr",3
"N4BP2_Expr",3
"RPL22_Expr",3
"SALL4_Expr",3
"SFRP4_Expr",3
"SMARCA4_Expr",3
"SMO_Expr",3
"USP44_Expr",3
"WAS_Expr",3
"WRN_Expr",3
"AUC__HMGB1_Signaling",2
