data_type,stratify_by,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,PearsonR_mean,PearsonR_std,SpearmanR_mean,SpearmanR_std,MAE,RMSE,R2,PearsonR,SpearmanR
1. Only_PC_Feat_Var,random,27.546,0.184,38.109,0.32,0.617,0.004,0.785,0.002,0.782,0.004,27.546 +/- 0.184,38.109 +/- 0.320,0.617 +/- 0.004,0.785 +/- 0.002,0.782 +/- 0.004
1. Only_PC_Feat_Var,inhibitor,46.148,3.515,58.472,3.369,0.118,0.045,0.337,0.069,0.317,0.077,46.148 +/- 3.515,58.472 +/- 3.369,0.118 +/- 0.045,0.337 +/- 0.069,0.317 +/- 0.077
1. Only_PC_Feat_Var,dbgap_rnaseq_sample,32.483,2.092,43.655,3.729,0.497,0.048,0.704,0.035,0.696,0.026,32.483 +/- 2.092,43.655 +/- 3.729,0.497 +/- 0.048,0.704 +/- 0.035,0.696 +/- 0.026
2. Embed_Feat_Var,random,27.087,0.235,37.519,0.335,0.628,0.006,0.793,0.004,0.789,0.006,27.087 +/- 0.235,37.519 +/- 0.335,0.628 +/- 0.006,0.793 +/- 0.004,0.789 +/- 0.006
2. Embed_Feat_Var,inhibitor,47.348,1.369,59.765,2.507,0.092,0.042,0.295,0.073,0.275,0.048,47.348 +/- 1.369,59.765 +/- 2.507,0.092 +/- 0.042,0.295 +/- 0.073,0.275 +/- 0.048
2. Embed_Feat_Var,dbgap_rnaseq_sample,32.478,0.527,44.016,1.552,0.49,0.029,0.699,0.02,0.694,0.019,32.478 +/- 0.527,44.016 +/- 1.552,0.490 +/- 0.029,0.699 +/- 0.020,0.694 +/- 0.019
3. ChemBERTa_Feat_Var,random,27.025,0.223,37.464,0.341,0.629,0.005,0.793,0.003,0.79,0.005,27.025 +/- 0.223,37.464 +/- 0.341,0.629 +/- 0.005,0.793 +/- 0.003,0.790 +/- 0.005
3. ChemBERTa_Feat_Var,inhibitor,47.244,5.038,59.684,6.96,0.102,0.035,0.315,0.057,0.294,0.063,47.244 +/- 5.038,59.684 +/- 6.960,0.102 +/- 0.035,0.315 +/- 0.057,0.294 +/- 0.063
3. ChemBERTa_Feat_Var,dbgap_rnaseq_sample,32.44,1.499,43.777,2.44,0.498,0.041,0.705,0.029,0.699,0.029,32.440 +/- 1.499,43.777 +/- 2.440,0.498 +/- 0.041,0.705 +/- 0.029,0.699 +/- 0.029
4. MolFormer_Feat_Var,random,26.865,0.24,37.246,0.358,0.634,0.004,0.796,0.003,0.791,0.005,26.865 +/- 0.240,37.246 +/- 0.358,0.634 +/- 0.004,0.796 +/- 0.003,0.791 +/- 0.005
4. MolFormer_Feat_Var,inhibitor,46.251,3.17,58.754,4.005,0.102,0.033,0.314,0.058,0.298,0.055,46.251 +/- 3.170,58.754 +/- 4.005,0.102 +/- 0.033,0.314 +/- 0.058,0.298 +/- 0.055
4. MolFormer_Feat_Var,dbgap_rnaseq_sample,32.189,1.391,43.78,1.445,0.495,0.026,0.704,0.018,0.7,0.028,32.189 +/- 1.391,43.780 +/- 1.445,0.495 +/- 0.026,0.704 +/- 0.018,0.700 +/- 0.028
