data_type,stratify_by,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,PearsonR_mean,PearsonR_std,SpearmanR_mean,SpearmanR_std,MAE,RMSE,R2,PearsonR,SpearmanR
Embed_Feat_Var,inhibitor,47.869,2.570,60.456,3.472,0.095,0.042,0.301,0.065,0.276,0.065,47.869 +/- 2.570,60.456 +/- 3.472,0.095 +/- 0.042,0.301 +/- 0.065,0.276 +/- 0.065
Embed_Feat_Var,dbgap_rnaseq_sample,35.272,1.248,46.140,1.765,0.439,0.019,0.662,0.015,0.659,0.014,35.272 +/- 1.248,46.140 +/- 1.765,0.439 +/- 0.019,0.662 +/- 0.015,0.659 +/- 0.014
Embed_Feat_Var,random,30.358,0.356,40.804,0.502,0.561,0.006,0.749,0.004,0.748,0.004,30.358 +/- 0.356,40.804 +/- 0.502,0.561 +/- 0.006,0.749 +/- 0.004,0.748 +/- 0.004
MolFormer_Feat_Var,inhibitor,47.452,2.573,59.579,3.059,0.101,0.054,0.308,0.082,0.284,0.084,47.452 +/- 2.573,59.579 +/- 3.059,0.101 +/- 0.054,0.308 +/- 0.082,0.284 +/- 0.084
MolFormer_Feat_Var,dbgap_rnaseq_sample,34.913,1.254,45.798,1.826,0.447,0.020,0.668,0.015,0.665,0.014,34.913 +/- 1.254,45.798 +/- 1.826,0.447 +/- 0.020,0.668 +/- 0.015,0.665 +/- 0.014
MolFormer_Feat_Var,random,30.359,0.352,40.802,0.495,0.561,0.006,0.749,0.004,0.748,0.004,30.359 +/- 0.352,40.802 +/- 0.495,0.561 +/- 0.006,0.749 +/- 0.004,0.748 +/- 0.004
ChemBERTa_Feat_Var,inhibitor,47.352,2.474,60.065,3.335,0.103,0.040,0.316,0.059,0.307,0.054,47.352 +/- 2.474,60.065 +/- 3.335,0.103 +/- 0.040,0.316 +/- 0.059,0.307 +/- 0.054
ChemBERTa_Feat_Var,dbgap_rnaseq_sample,35.139,1.258,46.016,1.792,0.442,0.020,0.665,0.015,0.662,0.014,35.139 +/- 1.258,46.016 +/- 1.792,0.442 +/- 0.020,0.665 +/- 0.015,0.662 +/- 0.014
ChemBERTa_Feat_Var,random,30.363,0.350,40.811,0.494,0.560,0.005,0.749,0.004,0.747,0.004,30.363 +/- 0.350,40.811 +/- 0.494,0.560 +/- 0.005,0.749 +/- 0.004,0.747 +/- 0.004
Only_PC_Feat_Var,inhibitor,45.900,2.589,58.011,3.370,0.138,0.044,0.366,0.058,0.344,0.060,45.900 +/- 2.589,58.011 +/- 3.370,0.138 +/- 0.044,0.366 +/- 0.058,0.344 +/- 0.060
Only_PC_Feat_Var,dbgap_rnaseq_sample,35.391,1.238,46.260,1.731,0.436,0.019,0.660,0.015,0.657,0.014,35.391 +/- 1.238,46.260 +/- 1.731,0.436 +/- 0.019,0.660 +/- 0.015,0.657 +/- 0.014
Only_PC_Feat_Var,random,30.362,0.355,40.808,0.502,0.561,0.006,0.748,0.004,0.747,0.004,30.362 +/- 0.355,40.808 +/- 0.502,0.561 +/- 0.006,0.748 +/- 0.004,0.747 +/- 0.004
