data_type,stratify_by,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,PearsonR_mean,PearsonR_std,SpearmanR_mean,SpearmanR_std,MAE,RMSE,R2,PearsonR,SpearmanR
1. Only_PC_Feat_Var,random,26.821,0.248,36.705,0.357,0.645,0.003,0.803,0.002,0.794,0.004,26.821 +/- 0.248,36.705 +/- 0.357,0.645 +/- 0.003,0.803 +/- 0.002,0.794 +/- 0.004
1. Only_PC_Feat_Var,inhibitor,45.753,4.455,57.704,5.038,0.14,0.041,0.37,0.055,0.344,0.072,45.753 +/- 4.455,57.704 +/- 5.038,0.140 +/- 0.041,0.370 +/- 0.055,0.344 +/- 0.072
1. Only_PC_Feat_Var,dbgap_rnaseq_sample,32.099,1.953,42.957,3.057,0.517,0.044,0.718,0.031,0.71,0.028,32.099 +/- 1.953,42.957 +/- 3.057,0.517 +/- 0.044,0.718 +/- 0.031,0.710 +/- 0.028
2. Embed_Feat_Var,random,27.002,0.23,36.98,0.33,0.639,0.004,0.8,0.003,0.791,0.004,27.002 +/- 0.230,36.980 +/- 0.330,0.639 +/- 0.004,0.800 +/- 0.003,0.791 +/- 0.004
2. Embed_Feat_Var,inhibitor,47.061,1.775,59.455,2.143,0.094,0.022,0.304,0.039,0.286,0.06,47.061 +/- 1.775,59.455 +/- 2.143,0.094 +/- 0.022,0.304 +/- 0.039,0.286 +/- 0.060
2. Embed_Feat_Var,dbgap_rnaseq_sample,32.005,0.774,42.882,1.389,0.516,0.01,0.718,0.007,0.711,0.009,32.005 +/- 0.774,42.882 +/- 1.389,0.516 +/- 0.010,0.718 +/- 0.007,0.711 +/- 0.009
3. ChemBERTa_Feat_Var,random,26.885,0.258,36.866,0.334,0.641,0.003,0.801,0.001,0.793,0.003,26.885 +/- 0.258,36.866 +/- 0.334,0.641 +/- 0.003,0.801 +/- 0.001,0.793 +/- 0.003
3. ChemBERTa_Feat_Var,inhibitor,46.272,2.168,58.378,3.324,0.121,0.024,0.346,0.034,0.318,0.056,46.272 +/- 2.168,58.378 +/- 3.324,0.121 +/- 0.024,0.346 +/- 0.034,0.318 +/- 0.056
3. ChemBERTa_Feat_Var,dbgap_rnaseq_sample,32.554,0.827,43.377,1.971,0.507,0.027,0.712,0.019,0.703,0.014,32.554 +/- 0.827,43.377 +/- 1.971,0.507 +/- 0.027,0.712 +/- 0.019,0.703 +/- 0.014
4. MolFormer_Feat_Var,random,26.535,0.221,36.374,0.265,0.651,0.004,0.807,0.002,0.798,0.004,26.535 +/- 0.221,36.374 +/- 0.265,0.651 +/- 0.004,0.807 +/- 0.002,0.798 +/- 0.004
4. MolFormer_Feat_Var,inhibitor,45.347,3.342,57.425,4.183,0.135,0.034,0.364,0.047,0.34,0.047,45.347 +/- 3.342,57.425 +/- 4.183,0.135 +/- 0.034,0.364 +/- 0.047,0.340 +/- 0.047
4. MolFormer_Feat_Var,dbgap_rnaseq_sample,32.114,0.857,43.021,1.172,0.514,0.005,0.717,0.003,0.71,0.004,32.114 +/- 0.857,43.021 +/- 1.172,0.514 +/- 0.005,0.717 +/- 0.003,0.710 +/- 0.004
