experiment_name,n_features,stratify_by,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,PearsonR_mean,PearsonR_std,SpearmanR_mean,SpearmanR_std,MAE,RMSE,R2,PearsonR,SpearmanR
baseline_all_features_Drug_PC,1778,inhibitor,45.804,4.371,58.907,5.451,0.121,0.047,0.342,0.069,0.320,0.067,45.804 +/- 4.371,58.907 +/- 5.451,0.121 +/- 0.047,0.342 +/- 0.069,0.320 +/- 0.067
baseline_all_features_Drug_PC,1778,dbgap_rnaseq_sample,31.465,1.273,42.876,2.472,0.517,0.022,0.719,0.015,0.712,0.012,31.465 +/- 1.273,42.876 +/- 2.472,0.517 +/- 0.022,0.719 +/- 0.015,0.712 +/- 0.012
baseline_all_features_Drug_PC,1778,random,26.381,0.247,36.696,0.286,0.645,0.003,0.803,0.002,0.795,0.003,26.381 +/- 0.247,36.696 +/- 0.286,0.645 +/- 0.003,0.803 +/- 0.002,0.795 +/- 0.003
baseline_all_features_Drug_Embed,1561,inhibitor,46.344,4.898,59.230,6.723,0.100,0.035,0.312,0.059,0.285,0.046,46.344 +/- 4.898,59.230 +/- 6.723,0.100 +/- 0.035,0.312 +/- 0.059,0.285 +/- 0.046
baseline_all_features_Drug_Embed,1561,dbgap_rnaseq_sample,31.054,0.742,42.687,1.458,0.525,0.021,0.724,0.015,0.719,0.011,31.054 +/- 0.742,42.687 +/- 1.458,0.525 +/- 0.021,0.724 +/- 0.015,0.719 +/- 0.011
baseline_all_features_Drug_Embed,1561,random,26.071,0.259,36.488,0.256,0.650,0.002,0.806,0.001,0.799,0.003,26.071 +/- 0.259,36.488 +/- 0.256,0.650 +/- 0.002,0.806 +/- 0.001,0.799 +/- 0.003
baseline_all_features_Drug_PC+Drug_Embed,2034,inhibitor,46.255,2.406,58.883,3.200,0.105,0.009,0.324,0.014,0.299,0.014,46.255 +/- 2.406,58.883 +/- 3.200,0.105 +/- 0.009,0.324 +/- 0.014,0.299 +/- 0.014
baseline_all_features_Drug_PC+Drug_Embed,2034,dbgap_rnaseq_sample,31.299,1.219,42.685,2.129,0.520,0.021,0.721,0.014,0.714,0.010,31.299 +/- 1.219,42.685 +/- 2.129,0.520 +/- 0.021,0.721 +/- 0.014,0.714 +/- 0.010
baseline_all_features_Drug_PC+Drug_Embed,2034,random,26.145,0.266,36.378,0.258,0.652,0.002,0.807,0.001,0.799,0.003,26.145 +/- 0.266,36.378 +/- 0.258,0.652 +/- 0.002,0.807 +/- 0.001,0.799 +/- 0.003
combo_1_Clinical_CellType_Module_Drug_PC,494,inhibitor,46.791,1.249,59.446,2.715,0.101,0.028,0.315,0.045,0.284,0.045,46.791 +/- 1.249,59.446 +/- 2.715,0.101 +/- 0.028,0.315 +/- 0.045,0.284 +/- 0.045
combo_1_Clinical_CellType_Module_Drug_PC,494,dbgap_rnaseq_sample,32.499,0.427,44.162,1.061,0.488,0.013,0.699,0.009,0.695,0.014,32.499 +/- 0.427,44.162 +/- 1.061,0.488 +/- 0.013,0.699 +/- 0.009,0.695 +/- 0.014
combo_1_Clinical_CellType_Module_Drug_PC,494,random,26.393,0.251,36.600,0.284,0.646,0.001,0.804,0.001,0.797,0.002,26.393 +/- 0.251,36.600 +/- 0.284,0.646 +/- 0.001,0.804 +/- 0.001,0.797 +/- 0.002
combo_1_Clinical_CellType_Module_Drug_Embed,277,inhibitor,46.986,2.796,59.323,4.561,0.100,0.026,0.314,0.040,0.288,0.031,46.986 +/- 2.796,59.323 +/- 4.561,0.100 +/- 0.026,0.314 +/- 0.040,0.288 +/- 0.031
combo_1_Clinical_CellType_Module_Drug_Embed,277,dbgap_rnaseq_sample,32.706,0.766,44.241,0.815,0.489,0.011,0.699,0.008,0.695,0.013,32.706 +/- 0.766,44.241 +/- 0.815,0.489 +/- 0.011,0.699 +/- 0.008,0.695 +/- 0.013
combo_1_Clinical_CellType_Module_Drug_Embed,277,random,26.398,0.239,36.596,0.258,0.646,0.003,0.804,0.002,0.798,0.002,26.398 +/- 0.239,36.596 +/- 0.258,0.646 +/- 0.003,0.804 +/- 0.002,0.798 +/- 0.002
