drug,n,mean_pred,median_pred,std_pred,lognorm_mu,lognorm_sigma,sw_stat,sw_pval,dp_stat,dp_pval,ks_stat,ks_pval,is_lognormal
17-AAG (Tanespimycin),157,156.8718,155.9128,22.5339,5.0451,0.1448,0.9835,0.0587,6.2373,0.0442,0.0550,0.7071,True
A-674563,161,143.4582,143.6933,15.9529,4.9597,0.1144,0.9766,0.0078,8.1568,0.0169,0.0678,0.4306,False
AGI-5198,110,251.8053,252.9416,8.0293,5.5281,0.0323,0.9565,0.0012,10.2806,0.0059,0.0858,0.3715,False
AGI-6780,107,243.6446,247.0799,11.3117,5.4946,0.0474,0.9307,0.0000,14.7255,0.0006,0.1388,0.0292,False
AT-101,85,212.1342,212.2780,8.8251,5.3564,0.0418,0.9875,0.5894,1.1617,0.5594,0.0518,0.9673,True
AT7519,156,134.9698,130.3770,14.0550,4.8999,0.1001,0.9465,0.0000,13.6539,0.0011,0.1309,0.0086,False
AZD1152-HQPA (AZD2811),159,221.5174,225.5127,17.7010,5.3971,0.0846,0.8950,0.0000,50.1111,0.0000,0.1351,0.0054,False
AZD1480,160,229.1186,229.0427,9.2147,5.4334,0.0405,0.9872,0.1495,2.8229,0.2438,0.0448,0.8904,True
Afatinib (BIBW-2992),161,171.7751,171.5679,12.5829,5.1435,0.0734,0.9934,0.6839,0.8624,0.6497,0.0391,0.9584,True
Alisertib (MLN8237),161,236.0745,235.7600,9.4283,5.4633,0.0402,0.9856,0.0936,3.9997,0.1354,0.0605,0.5774,True
Artemisinin,112,268.2019,269.1512,5.3770,5.5915,0.0202,0.9294,0.0000,17.4808,0.0002,0.1064,0.1472,False
Axitinib (AG-013736),158,195.4292,194.5329,17.9749,5.2709,0.0929,0.9894,0.2808,2.0585,0.3573,0.0489,0.8266,True
Azacytidine,157,239.0404,239.9178,10.3356,5.4757,0.0441,0.9509,0.0000,24.4964,0.0000,0.0860,0.1846,False
BEZ235,157,156.9586,157.1538,20.2403,5.0476,0.1305,0.9802,0.0236,9.5848,0.0083,0.0658,0.4851,False
BLZ945,45,218.7741,219.9764,12.2946,5.3865,0.0567,0.9759,0.4647,1.0904,0.5797,0.1015,0.7046,True
BMS-345541,160,232.9748,232.7175,5.3252,5.4507,0.0228,0.9888,0.2322,4.8880,0.0868,0.0455,0.8793,True
BMS-754807,41,208.4619,209.9173,8.9381,5.3389,0.0429,0.9789,0.6350,0.9531,0.6209,0.1310,0.4451,True
Bay 11-7085,153,254.2584,255.2876,11.0209,5.5374,0.0444,0.9250,0.0000,28.8082,0.0000,0.0901,0.1566,False
Birinapant,86,204.0680,204.8754,9.7246,5.3173,0.0479,0.9832,0.3303,1.4312,0.4889,0.0556,0.9398,True
Bortezomib (Velcade),160,163.5780,158.9134,16.6953,5.0923,0.0997,0.9489,0.0000,17.7641,0.0001,0.1096,0.0397,False
Bosutinib (SKI-606),159,208.3409,209.6323,14.5484,5.3367,0.0705,0.9861,0.1147,3.2858,0.1934,0.0634,0.5235,True
CHIR-99021,159,273.2018,274.4432,4.5030,5.6101,0.0167,0.8909,0.0000,58.2344,0.0000,0.1258,0.0119,False
CI-1040 (PD184352),162,194.5888,195.5082,15.8888,5.2675,0.0825,0.9715,0.0020,16.8412,0.0002,0.0849,0.1829,False
CYT387,159,177.8997,178.4153,16.5354,5.1769,0.0938,0.9878,0.1815,2.9473,0.2291,0.0454,0.8833,True
Cabozantinib,161,176.1209,175.1499,25.7113,5.1601,0.1516,0.9739,0.0038,8.4786,0.0144,0.0567,0.6577,False
Canertinib (CI-1033),160,222.0481,223.8315,11.8091,5.4014,0.0544,0.9543,0.0000,22.2992,0.0000,0.0883,0.1550,False
Cediranib (AZD2171),159,255.1714,256.4218,11.9887,5.5408,0.0475,0.9416,0.0000,21.7260,0.0000,0.1090,0.0423,False
Crenolanib,150,209.7761,210.7297,18.3636,5.3422,0.0890,0.9830,0.0618,4.2548,0.1191,0.0589,0.6525,True
