feature,embed_corr_train,embed_corr_test
LS_59,0.17484512004239966,0.23647081105677278
LS_43,0.1393896167690939,0.2170069919316969
LS_242,0.1336538490851409,0.19933786588299982
LS_34,0.15006126184380195,0.16785126177385234
LS_185,0.1305753685391072,0.15278253672194814
LS_42,0.11568366622168368,0.15081661834007073
LS_8,0.11726195023319191,0.14750509774021545
LS_90,0.10135573467004592,0.1400689436343664
LS_38,0.09951608067646982,0.1391816722679795
AUC__Myc_targets,0.10892020123080923,0.13693856037821878
LS_77,0.09833254198399037,0.1361328487145498
LS_189,0.08457809915220876,0.13180554450705234
LS_151,0.09814858419540944,0.1293613076609468
LS_17,0.0761109600353741,0.1282227443045607
LS_247,0.06903122715567425,0.12786392523261833
AUC__Mismatch_Repair_in_Eukaryotes,0.08694612547119057,0.12686646991796782
LS_131,0.09808590317682958,0.12669771206271882
LS_87,0.0984425915726818,0.12484640131896958
LS_73,0.1107541102246168,0.12302017234859469
LS_81,0.08794814317957196,0.12266377727247732
LS_27,0.0908373165075574,0.12173716160301323
LS_158,0.09057919003306947,0.12093145680206133
LS_71,0.0635128004066866,0.11845162148200872
LS_98,0.07150790904301056,0.11780382280851448
AUC__Telomere_Extension_by_Telomerase,0.09020063505854757,0.1171518292726093
LS_85,0.074315146945041,0.1155757069957868
AUC__Phopholipase,0.12144314513129961,0.11475807382665493
LS_23,0.10757649268013589,0.11413871819551304
LS_144,0.054247679633929624,0.11391672898145688
LS_46,0.08669629825481862,0.11329078424275556
AUC__Oxidative_phosphorylation,0.07935479678670782,0.11269884144808774
LS_244,0.1212843704441851,0.11219528100234757
LS_200,0.08001559173265568,0.11103179363674573
LS_117,0.11504601131663818,0.11039945274138338
LS_13,0.10287087979656628,0.10989700548966859
LS_139,0.0952919665139712,0.10981027600995824
LS_124,0.07226688114518724,0.10928295343518797
AUC__mTORC1_signaling,0.09243360941193557,0.10898405823304894
LS_233,0.06968300918642431,0.10840254743154987
LS_118,0.09532406406533203,0.10601166770396567
AUC__Estrogen_response,0.09544466399347727,0.1057868157462236
LS_63,0.07332101355164279,0.10571227308825255
LS_143,0.07645139466970288,0.10505074124540553
LS_163,0.08601085224001197,0.10495593215927575
LS_61,0.06257403390297055,0.10443159095004423
LS_36,0.09286895179641248,0.10431438539527715
AUC__DNA_repair,0.0759110038000866,0.10356313269832065
LS_65,0.07410362958479634,0.10323250685363128
AUC__Wnt_beta_catenin_signaling,0.10212281766109764,0.10234833679231545
LS_155,0.070760453265122,0.10209831182575134
LS_100,0.0970594186616697,0.10176418177626942
AUC__TNFR1_Signaling,0.04184509643337621,0.10157712850628606
AUC__Barrier_genes,0.08881834423687952,0.10150441226758286
LS_28,0.07357573129048282,0.10092946253270214
LS_175,0.07503610158495332,0.09968923561046548
LS_82,0.09928386660009468,0.09900416731190773
AUC__UV_response_up,0.08287727272756115,0.09787631545340245
LS_235,0.05853465093649358,0.09783405173338267
LS_114,0.0743036578477466,0.09760215346745954
LS_50,0.07148076280578822,0.09647880114713886
LS_3,0.06306028092479467,0.09642244074039638
LS_222,0.07846930886926856,0.09585008638794489
LS_141,0.04517098490878358,0.09555522479411138
LS_167,0.08929736233498459,0.094516704333463
AUC__Epithelial_mesenchymal_transition,0.07863651588362855,0.09377386279131301
LS_219,0.06857094516771298,0.09341341290734854
LS_156,0.08815340609858359,0.09287025969496912
AUC__TGF_beta_signaling,0.08244785582508118,0.09160850207910773
AUC__KRAS_signaling_down,0.06511106817790449,0.09079874719534557
LS_129,0.04466156908282162,0.08993765553498975
LS_47,0.08723645750895809,0.0877051729957099
LS_68,0.09973498641284505,0.08757028142508985
LS_84,0.05284660960209317,0.08602081809640405
