feature,shap_mean_abs_train,shap_mean_abs_test
LS_202,4.343860816955567,4.840985202789307
LS_21,2.5866168975830077,4.286481132507324
LS_17,1.4725406646728516,4.188301506042481
LS_94,1.7191261291503905,4.17215389251709
LS_61,1.9196455001831054,4.164843368530273
LS_200,2.1768938064575196,3.9553417587280273
LS_138,1.8375177383422852,3.8952374839782715
CDC42BPA_Expr,1.6725326538085938,3.7958689880371095
LS_90,2.6894929885864256,3.695712699890137
LS_243,3.4470552444458007,3.638698043823242
LS_58,2.684144973754883,3.611281433105469
LS_233,1.8555782318115235,3.5036255645751955
IGSF10_Expr,1.5705650329589844,3.4596604919433593
CEACAM6_Expr,1.2196466445922851,3.45681116104126
LS_216,2.153167724609375,3.4018701934814453
LS_76,1.594842529296875,3.358249111175537
CSPG4_Expr,1.4674690246582032,3.290620861053467
LS_131,1.8594789505004883,3.247399158477783
LS_8,2.379559326171875,3.246905746459961
PLEKHG4B_Expr,1.70037841796875,3.1822387886047365
LS_242,1.5159964561462402,3.0898634338378907
AC016735.1_Expr,1.323387336730957,3.087223472595215
LS_155,1.4637149810791015,3.0685192489624025
LS_166,3.2097475051879885,3.0590898895263674
LS_253,1.761080551147461,3.052970428466797
LS_127,2.1499977111816406,3.0490605545043947
LS_198,2.657381057739258,3.028639316558838
LS_1,1.7416128158569335,3.026960792541504
LS_92,1.6992506027221679,3.0244331550598145
DNTT_Expr,1.7684436798095704,2.9981367683410642
cDC-like,1.7478759765625,2.985592803955078
LS_35,1.5695009231567383,2.9826102447509766
LS_98,1.4490191459655761,2.9668506622314452
LRP1B_Expr,0.7098577499389649,2.952694282531738
LS_125,1.395695114135742,2.9432887649536132
ARHGEF10L_Expr,1.078521156311035,2.921689109802246
LIFR_Expr,1.3064083099365233,2.9041643714904786
LGALS2_Expr,1.7630910873413086,2.887315673828125
GPHN_Expr,1.4733131408691407,2.8861348533630373
LS_214,2.4201471328735353,2.8656805038452147
LS_46,2.379751205444336,2.790837287902832
HOXB3_Expr,0.7470964431762696,2.773235206604004
MAFB_Expr,2.1991119384765625,2.7605281829833985
AUC__Proliferation,1.3274345397949219,2.691218223571777
TNC_Expr,1.0342021942138673,2.6523588943481444
RPS4Y1_Expr,1.0980514526367187,2.6238371658325197
LS_30,1.6968799591064454,2.6128327560424807
AR_Expr,1.2714984893798829,2.5918838500976564
RP11-388P9.2_Expr,1.6635061264038087,2.579170265197754
DLK1_Expr,1.3151798248291016,2.5631168556213377
COL4A5_Expr,1.1718652725219727,2.527123966217041
DEFA4_Expr,1.3270170211791992,2.5184166336059572
MMP2_Expr,1.664760684967041,2.5138472747802734
LS_151,2.4262008666992188,2.5061246490478517
ZNF521_Expr,1.0844663619995116,2.462694683074951
SALL4_Expr,1.172123908996582,2.450871295928955
THSD7A_Expr,1.3776641845703126,2.43200813293457
RXFP1_Expr,1.953806209564209,2.407962455749512
DEFB1_Expr,1.3997934341430665,2.4061907958984374
AL589743.1_Expr,1.0007616043090821,2.403557872772217
MYCL_Expr,1.2839593887329102,2.3999131393432616
IGKV2-23_Expr,1.1552793502807617,2.350284194946289
TRH_Expr,1.1605388641357421,2.343456573486328
MUC4_Expr,1.2354310989379882,2.3430395889282227
M21,1.2310321807861329,2.321294822692871
VCAN_Expr,0.7307790756225586,2.3204255294799805
DPPA4_Expr,1.0595983505249023,2.3072194862365722
HOXA11-AS_Expr,1.555351448059082,2.300484313964844
MLLT3_Expr,1.7734207153320312,2.296869888305664
ARHGAP5_Expr,1.0609132766723632,2.289459438323975
CDH2_Expr,1.1656387329101563,2.284903907775879
M16,1.093439483642578,2.2729766845703123
LS_34,2.051483726501465,2.2604497718811034
AC004791.2_Expr,1.3708494186401368,2.2521024703979493
DSG2_Expr,1.3883464813232422,2.2517731285095213
NR4A3_Expr,1.1962041854858398,2.2427090072631835
WT1_Expr,1.1233476638793944,2.2323130798339843
HOXA11_Expr,1.0965801239013673,2.2301198959350588
PAX8_Expr,1.7139242172241211,2.219335536956787
M14,0.9911933898925781,2.2154463958740234
CEACAM8_Expr,0.8217662811279297,2.2139527893066404
KCNE1L_Expr,1.4735767364501953,2.2121017265319822
CYYR1_Expr,1.7303356170654296,2.193323516845703
IRX5_Expr,0.9182777404785156,2.184683303833008
Progenitor-like,1.0406484603881836,2.179692440032959
LTF_Expr,1.119694709777832,2.1759534454345704
CD300E_Expr,1.2371753692626952,2.1705198669433594
SPAG6_Expr,1.0605197906494142,2.1704259872436524
MMP8_Expr,1.403752326965332,2.1693012619018557
TRIP11_Expr,1.6522193908691407,2.167330513000488
SBDS_Expr,1.322354507446289,2.153111038208008
Monocyte-like,1.3682872772216796,2.140908889770508
WT1-AS_Expr,1.1503957748413085,2.1397883796691897
FGFR1_Expr,0.9472429275512695,2.1351351356506347
TTTY14_Expr,1.2038501739501952,2.132711181640625
FOXC1_Expr,1.4839033126831054,2.1308804893493654
GJA1_Expr,1.062225914001465,2.129811935424805
FAT1_Expr,1.0909564971923829,2.1134788894653322
BEX1_Expr,1.0784360885620117,2.10418758392334
HPGDS_Expr,1.403315544128418,2.0987825775146485
PHACTR3_Expr,1.841314697265625,2.0974284172058106
LAMB2_Expr,1.1938732147216797,2.0969872283935547
HMGA2_Expr,1.2008734703063966,2.0957121658325195
M1,0.9269643783569336,2.07786169052124
TTTY15_Expr,1.4359495162963867,2.074060115814209
PXDN_Expr,1.4325014114379884,2.0703863525390624
USP9Y_Expr,1.4240167617797852,2.0680166816711427
DEFA1B_Expr,1.5295162200927734,2.0668743896484374
CRISP3_Expr,1.1804122924804688,2.0662120246887206
HOXA6_Expr,1.1526080131530763,2.0649512100219725
PPARGC1A_Expr,0.7288579940795898,2.064153861999512
Immunogenic_Cell_Death_(ICD),1.885561752319336,2.063747386932373
DOCK1_Expr,1.380438995361328,2.0636294746398924
EREG_Expr,1.2882217407226562,2.0624271392822267
EIF1AY_Expr,0.6148593902587891,2.0519691848754884
DSC2_Expr,1.0014647483825683,2.047492752075195
SCN9A_Expr,1.245849609375,2.042277526855469
AKT3_Expr,1.381317710876465,2.036323299407959
HOXA7_Expr,1.506208610534668,2.033478870391846
AC104809.4_Expr,1.9165777206420898,2.0329917907714843
RBPMS_Expr,1.2563316345214843,2.0316094589233398
PRSS21_Expr,1.201304817199707,2.023763656616211
PRKY_Expr,1.2323501586914063,2.0141775131225588
PRAME_Expr,1.6518653869628905,2.005591449737549
M4,1.4594221115112305,2.002220001220703
ZMYM3_Expr,1.6800691604614257,2.001534023284912
IL12A-AS1_Expr,1.827725601196289,2.0006847953796387
CASC10_Expr,1.4153974533081055,2.000323314666748
IRX3_Expr,1.2268857955932617,1.998225917816162
DDIT4L_Expr,1.8891176223754882,1.9977725791931151
PRLR_Expr,1.1275569915771484,1.9924747848510742
MKRN3_Expr,0.7386821746826172,1.9902356338500977
XIST_Expr,1.481356430053711,1.9843591690063476
SNCAIP_Expr,0.9704837799072266,1.9803657913208008
PRDM16_Expr,1.3001380920410157,1.9800386428833008
BCLAF1_Expr,1.715825080871582,1.976083755493164
MN1_Expr,1.2517267227172852,1.9711320495605469
GPC4_Expr,1.2318994522094726,1.9701898384094239
IDH2_Mut,0.9736553192138672,1.9563677597045899
C20orf166-AS1_Expr,1.116501808166504,1.9561283493041992
DPP10_Expr,0.8300756454467774,1.9543957901000977
PIEZO2_Expr,1.5329147338867188,1.9498711013793946
DEFA1_Expr,1.0682085037231446,1.9489372444152833
DDX3Y_Expr,0.951679801940918,1.9483208274841308
NRG1_Expr,0.9920066833496094,1.9432916641235352
M7,1.0292943954467773,1.9214804077148437
GSTM1_Expr,1.3136703491210937,1.9176584053039551
NKX2-3_Expr,1.4333650588989257,1.9162758636474608
NDN_Expr,1.2966676712036134,1.9157612037658691
HOXA5_Expr,1.0373149871826173,1.9150031280517579
HOXB5_Expr,1.332699966430664,1.9144627380371093
HOXB8_Expr,1.1377492904663087,1.9124164009094238
