feature,minmax_variance,rank
RPS4Y1_Expr,0.16056853011767197,1
KDM5D_Expr,0.14758163848801154,2
UTY_Expr,0.13628812420682326,3
TXLNG2P_Expr,0.13399480106633688,4
DDX3Y_Expr,0.12404093435423409,5
ZFY_Expr,0.12348307544368403,6
USP9Y_Expr,0.1218763903675375,7
TTTY15_Expr,0.1170341644310517,8
XIST_Expr,0.1125018320834743,9
NKX2-3_Expr,0.10899511876481953,10
EIF1AY_Expr,0.10373991467586757,11
RP11-424G14.1_Expr,0.09854763408002042,12
TTTY14_Expr,0.0981680371877627,13
RP11-129J12.2_Expr,0.09755598850499565,14
HMGA2_Expr,0.0936205664435134,15
GSTM1_Expr,0.09004253880922589,16
COL4A5_Expr,0.08931228921865488,17
HOXB5_Expr,0.08891429077127551,18
HOXB6_Expr,0.08862393708935326,19
HOXB-AS3_Expr,0.08422203595709912,20
DSG2_Expr,0.08385090584162133,21
PRSS21_Expr,0.08291030832096846,22
LINC00982_Expr,0.08164956319884822,23
AL589743.1_Expr,0.08134857045289991,24
AC091814.2_Expr,0.08123646087716369,25
HOXA7_Expr,0.08070443503711255,26
PRKY_Expr,0.07797212736967357,27
DPP10_Expr,0.0779434983252092,28
PRDM16_Expr,0.07748612108337392,29
LS_200,0.07640351932237176,30
SRSF2_Mut,0.07618585511966408,31
ZFP57_Expr,0.07581833736665566,32
IRX3_Expr,0.07560765288227252,33
PAX8_Expr,0.07517858527720606,34
NDN_Expr,0.0751689348111634,35
PXDN_Expr,0.07501877992301348,36
IDH2_Mut,0.07425831837532702,37
AC016735.1_Expr,0.07280320828736093,38
GTSF1_Expr,0.0723751884744473,39
HOXA11_Expr,0.07212739263922635,40
MKRN3_Expr,0.07202021186852046,41
HOXB8_Expr,0.0713108653482065,42
WT1-AS_Expr,0.0708929540910376,43
RP11-388P9.2_Expr,0.07021869165709847,44
SLITRK4_Expr,0.07007837747992363,45
HOXA11-AS_Expr,0.07007048718344391,46
IL12A-AS1_Expr,0.06972685030933773,47
HOXA6_Expr,0.06944503992970154,48
DPPA4_Expr,0.06930485915252237,49
LS_94,0.06919574836984459,50
PLEKHG4B_Expr,0.06909614204179612,51
CYYR1_Expr,0.06904780760162825,52
HOXA3_Expr,0.0679190483909896,53
ADCY2_Expr,0.06766478995991777,54
LS_127,0.06721073430618661,55
AC004791.2_Expr,0.06689850378622804,56
RBPMS_Expr,0.06661871981378663,57
PPARGC1A_Expr,0.06661653587177087,58
LS_166,0.06575358491612339,59
IDH1_Mut,0.06569142290904662,60
C20orf166-AS1_Expr,0.06568044764344728,61
ZNF521_Expr,0.06554939927522092,62
KIAA1456_Expr,0.06520525014052782,63
HOXA5_Expr,0.06520257987178571,64
BEX1_Expr,0.06466999211254154,65
RP11-497G19.2_Expr,0.064309766551757,66
LS_1,0.06422665275103197,67
THSD7A_Expr,0.06416911368152683,68
CES1_Expr,0.06396314014537123,69
TRH_Expr,0.06395750890280276,70
IGKV2-23_Expr,0.06362349138466737,71
HOXA9_Expr,0.06359406127056179,72
LAMB2_Expr,0.06358592937683454,73
IRX5_Expr,0.06325000846650018,74
ARHGEF10L_Expr,0.06292846123707559,75
CD34_Expr,0.06287603019642506,76
MDFI_Expr,0.062357801502183764,77
LS_131,0.06212812142224624,78
FGD5_Expr,0.06171064207114758,79
AUC__Proliferation,0.06161491908761172,80
CDH2_Expr,0.06159042299314519,81
RP11-497G19.1_Expr,0.061414728622817,82
HOXB9_Expr,0.0613503028628134,83
M7,0.0612650720242793,84
LS_216,0.061237926922436285,85
CDH4_Expr,0.06106067660790449,86
LS_242,0.061015966056435555,87
PAX8-AS1_Expr,0.0606675101825586,88
CHRDL1_Expr,0.060170363745351875,89
GPC4_Expr,0.059521490430519325,90
PRAME_Expr,0.05950183634368667,91
DOCK1_Expr,0.059398378166860354,92
HOXB3_Expr,0.05932167866192747,93
LS_125,0.05924144056009643,94
M4,0.05913222688004197,95
FGFR1_Expr,0.05879693888345891,96
NPTX2_Expr,0.058374461853338694,97
SPAG6_Expr,0.05834129558775463,98
PHACTR3_Expr,0.057946172166446853,99
MUC4_Expr,0.05786911581758937,100
LS_233,0.05778438555927902,101
LGALS2_Expr,0.05703187352519178,102
GPHN_Expr,0.05694677631904416,103
VCAN_Expr,0.056891478072426345,104
DDIT4L_Expr,0.056323219839080695,105
M14,0.05628021975811697,106
MAFB_Expr,0.05600397262012837,107
LTF_Expr,0.055901731503784254,108
ARPP21_Expr,0.055799526513487234,109
PRLR_Expr,0.05573915002522495,110
MLLT3_Expr,0.05568978885189386,111
PROM1_Expr,0.05567207458457167,112
CXCL12_Expr,0.05563451335871687,113
KCNE1L_Expr,0.055512427074435884,114
AC104809.4_Expr,0.055186802463624604,115
CEACAM8_Expr,0.05518556673373378,116
DSC2_Expr,0.05512696099859085,117
S100A16_Expr,0.054965253808117516,118
CASC10_Expr,0.05486821182183116,119
LS_35,0.05471458746650325,120
Monocyte-like,0.054477066126158616,121
WT1_Expr,0.05447218664222591,122
M21,0.05440594691747868,123
M1,0.054403345340559954,124
M11,0.054317121885931255,125
M12,0.05422697727055314,126
DNTT_Expr,0.054179318595120804,127
MECOM_Expr,0.05403161127917555,128
SEPT6_Expr,0.054015676432958466,129
CRISP3_Expr,0.05378656575345567,130
M23,0.053420546616724345,131
LS_58,0.0533618366791741,132
ARHGAP5_Expr,0.05325014438365697,133
GPC6_Expr,0.0532391092112336,134
FAT1_Expr,0.05297721460417322,135
SCN9A_Expr,0.0528791414962515,136
LIFR_Expr,0.05278595192031512,137
FOXC1_Expr,0.05272629231333531,138
LPHN3_Expr,0.05266922158687849,139
CDC42BPA_Expr,0.05261187346888019,140
LS_98,0.052529654258559204,141
EREG_Expr,0.05241281095328962,142
DAXX_Expr,0.05241002985751871,143
PPARG_Expr,0.052305178741239515,144
LS_8,0.05215120425395536,145
LS_151,0.052095692931200824,146
JAZF1_Expr,0.05202051106097029,147
RP11-704M14.1_Expr,0.051945358343598556,148
HPGDS_Expr,0.05163769965101422,149
LS_76,0.05137390081293553,150
Progenitor-like,0.051255871074774556,151
TNC_Expr,0.05093733325429158,152
NR4A3_Expr,0.050888113499559684,153
CD300E_Expr,0.05083569570111456,154
M16,0.050828280117468656,155
SBDS_Expr,0.050793685084395246,156
MN1_Expr,0.05077998845859863,157
MYCN_Expr,0.050699975533916745,158
DEFA1B_Expr,0.05054372916660503,159
AR_Expr,0.050450663420056226,160
MMP8_Expr,0.0503759457879034,161
TRIP11_Expr,0.05031051795822935,162
MSLN_Expr,0.050260621753588426,163
MYCL_Expr,0.050091028961640194,164
LS_30,0.04979878401886042,165
LS_253,0.049750904074346285,166
LS_34,0.04966053151559104,167
DEFA1_Expr,0.04963362250126,168
DEFB1_Expr,0.0494668434438998,169
NRG1_Expr,0.04941391604349369,170
cDC-like,0.04934742303861444,171
LS_198,0.04884878649990401,172
GJA1_Expr,0.04883311625433533,173
MYO18B_Expr,0.04879983863086444,174
LS_21,0.048746598714268,175
CEACAM6_Expr,0.04869082551621844,176
SALL4_Expr,0.04862637895255074,177
M3,0.048461672297855515,178
Immunogenic_Cell_Death_(ICD),0.04845284625996955,179
LS_61,0.04837723483973348,180
IGSF10_Expr,0.048100435895508234,181
CSPG4_Expr,0.04798810021283854,182
LS_155,0.04798538422085015,183
MMP2_Expr,0.04788610051667862,184
PIEZO2_Expr,0.047854032768170976,185
LS_214,0.047703065428578044,186
MEIS1_Expr,0.04764502716174597,187
ADAMTS2_Expr,0.04761017483690861,188
POU4F1_Expr,0.04750411893093695,189
LS_202,0.04733286910540536,190
LS_138,0.04723983604980692,191
M6,0.04721721187053985,192
CD177_Expr,0.04696655709881235,193
SNCAIP_Expr,0.04666392548507797,194
LS_243,0.0465914674303573,195
LAMP5_Expr,0.046579721296164014,196
ST18_Expr,0.04651106800008642,197
DEFA4_Expr,0.04610944712083337,198
LS_92,0.04610470023018915,199
LRP1B_Expr,0.04592804513155693,200
AKT3_Expr,0.045884979856349754,201
ZMYM3_Expr,0.04585886928067188,202
LS_46,0.045640896630325195,203
LS_90,0.04558283654119888,204
DLK1_Expr,0.04546004880205213,205
RXFP1_Expr,0.04542221095857582,206
BCLAF1_Expr,0.045341374321394484,207
LS_17,0.04533023387909067,208
CLP1_Expr,0.04499302452811165,209
AHSP_Expr,0.044893678563295916,210
SAGE1_Expr,0.04484756269139788,211
LCN2_Expr,0.04473642033487563,212
Notch_signaling,0.04468853445343118,213
TNFAIP3_Expr,0.04459872317357956,214
NPM1_Mut,0.04456479190077325,215
E2F_targets,0.04441478357721055,216
TCL1A_Expr,0.044338177105761115,217
PDCD1LG2_Expr,0.04431520745723759,218
Proliferation,0.044234735957190824,219
LS_112,0.04417603994770154,220
PTPRB_Expr,0.044140080091740946,221
PTPRD_Expr,0.04412207487637349,222
RBM15_Expr,0.04374053539957812,223
PTK6_Expr,0.04370693382329079,224
LS_70,0.04357713196974701,225
HOXA13_Expr,0.043568868033729044,226
CHD4_Expr,0.04355267205629886,227
ETV5_Expr,0.043504322104073734,228
LS_110,0.043476799574769215,229
HSC-like,0.043474222771149464,230
LS_235,0.04329766480322517,231
NFKBIE_Expr,0.04320003760815004,232
Mitotic_spindle,0.043196183956237914,233
EGFR_Expr,0.043039353061401435,234
ZFHX3_Expr,0.04301956713894022,235
CDKN2A_Expr,0.0429373925291959,236
CDH11_Expr,0.0427923502149594,237
NCOR1_Expr,0.042785323541424405,238
PRKACA_Expr,0.042649758244083055,239
LS_188,0.04264711428360737,240
MED12_Expr,0.04256348638112385,241
EPX_Expr,0.04244948412514206,242
RPL10_Expr,0.04230752627487835,243
