data_type,stratify_by,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,PearsonR_mean,PearsonR_std,SpearmanR_mean,SpearmanR_std,MAE,RMSE,R2,PearsonR,SpearmanR
Only_PC_Feat_Var,inhibitor,46.743,4.247,58.955,5.269,0.096,0.028,0.306,0.045,0.268,0.042,46.743 +/- 4.247,58.955 +/- 5.269,0.096 +/- 0.028,0.306 +/- 0.045,0.268 +/- 0.042
Only_PC_Feat_Var,dbgap_rnaseq_sample,31.790,1.451,43.513,2.963,0.508,0.029,0.712,0.021,0.706,0.012,31.790 +/- 1.451,43.513 +/- 2.963,0.508 +/- 0.029,0.712 +/- 0.021,0.706 +/- 0.012
Only_PC_Feat_Var,random,26.290,0.285,36.710,0.295,0.645,0.002,0.803,0.001,0.796,0.003,26.290 +/- 0.285,36.710 +/- 0.295,0.645 +/- 0.002,0.803 +/- 0.001,0.796 +/- 0.003
Embed_Feat_Var,inhibitor,45.841,4.645,58.740,6.166,0.121,0.054,0.337,0.082,0.311,0.078,45.841 +/- 4.645,58.740 +/- 6.166,0.121 +/- 0.054,0.337 +/- 0.082,0.311 +/- 0.078
Embed_Feat_Var,dbgap_rnaseq_sample,31.453,0.959,43.181,1.526,0.512,0.019,0.716,0.013,0.711,0.013,31.453 +/- 0.959,43.181 +/- 1.526,0.512 +/- 0.019,0.716 +/- 0.013,0.711 +/- 0.013
Embed_Feat_Var,random,26.047,0.288,36.444,0.272,0.651,0.002,0.807,0.002,0.799,0.003,26.047 +/- 0.288,36.444 +/- 0.272,0.651 +/- 0.002,0.807 +/- 0.002,0.799 +/- 0.003
ChemBERTa_Feat_Var,inhibitor,45.285,3.859,57.409,4.639,0.150,0.065,0.377,0.088,0.348,0.096,45.285 +/- 3.859,57.409 +/- 4.639,0.150 +/- 0.065,0.377 +/- 0.088,0.348 +/- 0.096
ChemBERTa_Feat_Var,dbgap_rnaseq_sample,31.574,1.417,43.230,1.860,0.512,0.032,0.715,0.022,0.709,0.028,31.574 +/- 1.417,43.230 +/- 1.860,0.512 +/- 0.032,0.715 +/- 0.022,0.709 +/- 0.028
ChemBERTa_Feat_Var,random,26.009,0.266,36.423,0.249,0.651,0.003,0.807,0.002,0.800,0.003,26.009 +/- 0.266,36.423 +/- 0.249,0.651 +/- 0.003,0.807 +/- 0.002,0.800 +/- 0.003
MolFormer_Feat_Var,inhibitor,45.227,1.978,57.499,3.396,0.139,0.019,0.372,0.024,0.346,0.030,45.227 +/- 1.978,57.499 +/- 3.396,0.139 +/- 0.019,0.372 +/- 0.024,0.346 +/- 0.030
MolFormer_Feat_Var,dbgap_rnaseq_sample,31.592,1.327,43.138,2.793,0.513,0.034,0.716,0.024,0.708,0.019,31.592 +/- 1.327,43.138 +/- 2.793,0.513 +/- 0.034,0.716 +/- 0.024,0.708 +/- 0.019
MolFormer_Feat_Var,random,25.995,0.259,36.373,0.219,0.652,0.003,0.808,0.001,0.800,0.003,25.995 +/- 0.259,36.373 +/- 0.219,0.652 +/- 0.003,0.808 +/- 0.001,0.800 +/- 0.003
