data_type,stratify_by,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,PearsonR_mean,PearsonR_std,SpearmanR_mean,SpearmanR_std,MAE,RMSE,R2,PearsonR,SpearmanR
1.Only_PC_Feat_Var,random,27.263,0.269,37.289,0.303,0.633,0.002,0.796,0.001,0.787,0.003,27.263 +/- 0.269,37.289 +/- 0.303,0.633 +/- 0.002,0.796 +/- 0.001,0.787 +/- 0.003
1.Only_PC_Feat_Var,inhibitor,47.3,4.891,60.785,5.007,0.086,0.064,0.267,0.121,0.266,0.121,47.300 +/- 4.891,60.785 +/- 5.007,0.086 +/- 0.064,0.267 +/- 0.121,0.266 +/- 0.121
1.Only_PC_Feat_Var,dbgap_rnaseq_sample,32.652,1.63,43.726,2.204,0.495,0.028,0.703,0.02,0.697,0.015,32.652 +/- 1.630,43.726 +/- 2.204,0.495 +/- 0.028,0.703 +/- 0.020,0.697 +/- 0.015
2.Embed_Feat_Var,random,26.998,0.239,36.923,0.212,0.641,0.002,0.8,0.001,0.792,0.003,26.998 +/- 0.239,36.923 +/- 0.212,0.641 +/- 0.002,0.800 +/- 0.001,0.792 +/- 0.003
2.Embed_Feat_Var,inhibitor,48.39,3.366,61.173,4.039,0.083,0.047,0.275,0.083,0.258,0.095,48.390 +/- 3.366,61.173 +/- 4.039,0.083 +/- 0.047,0.275 +/- 0.083,0.258 +/- 0.095
2.Embed_Feat_Var,dbgap_rnaseq_sample,32.758,2.014,43.714,3.067,0.498,0.039,0.705,0.028,0.696,0.028,32.758 +/- 2.014,43.714 +/- 3.067,0.498 +/- 0.039,0.705 +/- 0.028,0.696 +/- 0.028
3.ChemBERTa_Feat_Var,random,26.85,0.261,36.833,0.313,0.642,0.005,0.802,0.003,0.793,0.004,26.850 +/- 0.261,36.833 +/- 0.313,0.642 +/- 0.005,0.802 +/- 0.003,0.793 +/- 0.004
3.ChemBERTa_Feat_Var,inhibitor,46.122,2.979,58.43,4.712,0.124,0.024,0.35,0.034,0.323,0.028,46.122 +/- 2.979,58.430 +/- 4.712,0.124 +/- 0.024,0.350 +/- 0.034,0.323 +/- 0.028
3.ChemBERTa_Feat_Var,dbgap_rnaseq_sample,32.804,1.834,43.736,2.748,0.496,0.025,0.704,0.018,0.696,0.017,32.804 +/- 1.834,43.736 +/- 2.748,0.496 +/- 0.025,0.704 +/- 0.018,0.696 +/- 0.017
4.MolFormer_Feat_Var,random,27.074,0.184,37.175,0.217,0.635,0.006,0.797,0.004,0.788,0.004,27.074 +/- 0.184,37.175 +/- 0.217,0.635 +/- 0.006,0.797 +/- 0.004,0.788 +/- 0.004
4.MolFormer_Feat_Var,inhibitor,48.247,2.835,60.911,4.082,0.079,0.027,0.277,0.049,0.252,0.064,48.247 +/- 2.835,60.911 +/- 4.082,0.079 +/- 0.027,0.277 +/- 0.049,0.252 +/- 0.064
4.MolFormer_Feat_Var,dbgap_rnaseq_sample,32.272,0.721,43.191,1.233,0.508,0.021,0.713,0.015,0.706,0.014,32.272 +/- 0.721,43.191 +/- 1.233,0.508 +/- 0.021,0.713 +/- 0.015,0.706 +/- 0.014
